project_name,project_by,location,Build_Up_Area,Unit_Types,Price,about_project,Project status,possesion,launched,rera_no
Concorde Spring Meadows,By Concorde Group in Tumkur Road,Tumkur Road,1210 - 1477 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														52.01L  - 63.49L 							",,Ongoing,Possession: Jun-2021,,
Sruthika Springfields,By Sruthika Builders and Developers in Vidyaranyapura,Vidyaranyapura,1377 - 1467 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														48.19L  - 51.34L 							",,Ongoing,Possession: Apr-2018,Launched: Aug-2013, REGISTRATION NO. PR/KN/170830/001505
DS Max Sonata,By DS MAX Properties Pvt. Ltd. in Jalahalli West,Jalahalli West,1263 - 1485 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														37.89L  - 44.55L 							",,Ongoing,Possession: May-2020,,
Artha Seion Gold,By Artha Property in Bannerghatta Road,Bannerghatta Road,2268 sq.ft,"
								4 BHK Villa
								Availability*: Yes
							","
														 
														1.36Cr 							",,Ongoing,Possession: Dec-2017,,
Water Front Villament,By Valmark Builders in Bannerghatta Road,Bannerghatta Road,3340 - 3449 sq.ft,"
								4 BHK RowHouse
								Availability*: Yes
							","
														 
														1.95Cr  - 2.01Cr 							",,Ongoing,Possession: Jun-2018,,
Vaishnavi Gardenia,By Vaishnavi Group in Jalahalli West,Jalahalli West,1433 - 1618 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														98.06L  - 1.10Cr 							",,Ongoing,Possession: Aug-2018,Launched: Dec-2014, REGISTRATION NO. PR/KN/170729/000344
Silver Oak Residences,By HillTop Arcade Private Limited in Hesaraghatta,Hesaraghatta,1015 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														51L 							",,Ongoing,Possession: Nov-2017,Launched: Jun-2015,
Godrej Gold County,By Godrej Properties Limited in Tumkur Road,Tumkur Road,4113 - 4200 sq.ft,"
								5 BHK Villa
								Availability*: Yes
							","
														 
														2.96Cr  - 3.02Cr 							",,Ongoing,Possession: Dec-2017,,
DS Max Silver Wood,By DS MAX Properties Pvt. Ltd. in Bommasandra,Bommasandra,1276 - 1745 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														35.72L  - 48.86L 							",,Ongoing,Possession: May-2018,Launched: Apr-2015,
Svamitva Emerald Square,By Svamitva Infra Pvt Ltd in Bommasandra,Bommasandra,1394 - 1481 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														54.88L  - 58.09L 							",,Ongoing,Possession: Dec-2020,Launched: Sep-2017, REGISTRATION NO. PR/KN/170801/000667
Gomati Iris,By Gomati Infratech in Bommasandra,Bommasandra,1270 sq.ft,"
								2.5 BHK Apartment
								Availability*: Yes
							","
														 
														44.91L 							",,Ongoing,Possession: Jun-2018,,
Sipani Bliss 2,By Sipani Properties Private Limited in Bommasandra,Bommasandra,1155 - 1330 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														24.25L  - 27.93L 							",,Ongoing,Possession: Dec-2017,,
Sriven Rag Meridian,By Sriven Properties in Bommasandra,Bommasandra,1096 - 1187 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														30.68L  - 33.23L 							",,Ongoing,Possession: Dec-2019,,
Prabhavathi Fortune,By Prabhavathi Builders in Bommasandra,Bommasandra,840 - 890 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														21.84L  - 23.14L 							",,Ongoing,Possession: Nov-2017,,
Mayur Springdale,By Mayur Group in Bommasandra,Bommasandra,2600 sq.ft,"
								4 BHK Villa
								Availability*: Yes
							","
														 
														1.42Cr 							",,Ongoing,Possession: Sep-2017,,
Sampurna Bhoomika Ocean,By Sampurna Bhoomika Infra (I) Pvt. Ltd. in Bidadi,Bidadi,1000 - 1100 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														33L  - 36.30L 							",,Ongoing,,,
ALPS Aurora,By ALPS Prime Spaces Pvt Ltd. in Bommasandra,Bommasandra,1130 - 1220 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														29.94L  - 32.33L 							",,Ongoing,Possession: Sep-2017,,
Cleartitle Green Valley,By Cleartitle Properties in Begur Road,Begur Road,1100 - 1300 sq.ft,"
								3 BHK Villa
								Availability*: Yes
							","
														 
														69.75L  - 73.75L 							",,Ongoing,Possession: Jun-2018,,
Purva The Sound Of Water,By Puravankara Limited in Bannerghatta Road,Bannerghatta Road,3986 - 4067 sq.ft,"
								4 BHK Villa
								Availability*: Yes
							","
														 
														3.90Cr  - 5.04Cr 							",,Ongoing,Possession: Dec-2019,Launched: May-2014, REGISTRATION NO. PR/KN/170729/000230
Axis Antara,By Axis Concept Construction Pvt. Ltd. in Akshayanagar,Akshayanagar,887 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														40.80L 							",,Ongoing,Possession: Dec-2020,,
Surath Sunny Side,By Surath Builders in Akshayanagar,Akshayanagar,1250 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														43.75L 							",,Ongoing,Possession: Mar-2018,,
Gopalan Lake Front,By Gopalan Enterprises in Electronic City Phase I,Electronic City Phase I,1560 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														82.74L 							",,Ongoing,Possession: Dec-2018,Launched: Jan-2015, REGISTRATION NO. PR/KN/170812/001274
LGCL Pueblo,By LGCL in Rayasandra,Rayasandra,2483 - 3027 sq.ft,"
								4 BHK Villa
								Availability*: Yes
							","
														NA							",,Ongoing,,, REGISTRATION NO. PR/KN/170731/000286
Shanders Orchards,By Shanders Group in Electronic City Phase II,Electronic City Phase II,3500 sq.ft,"
								4 BHK Villa
								Availability*: Yes
							","
														 
														2.07Cr 							",,Ongoing,,,
Sri Infra Heights,By Sri Infra Structures in Electronic City Phase II,Electronic City Phase II,990 - 1290 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														32.40L  - 40.90L 							",,Ongoing,Possession: Jul-2018,,
Concorde Epitome,By Concorde Group in Electronic City Phase II,Electronic City Phase II,1440 - 1737 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														55L  - 66L 							",,Ongoing,Possession: Dec-2019,Launched: Jul-2014, REGISTRATION NO. PR/KN/170731/000698
SNN Raj GreenBay,By S N N Builders Pvt Ltd in Electronic City Phase II,Electronic City Phase II,630 sq.ft,"
								1 BHK Apartment
								Availability*: Sold out
							","
														 
														40L 							",,Ongoing,Possession: Dec-2018,Launched: Jul-2014, REGISTRATION NO. PR/KN/170731/000621
Pragathi Amber ,By SLV Concretes in Electronic City Phase II,Electronic City Phase II,1430 - 1690 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														50.03L  - 59.13L 							",,Ongoing,Possession: Dec-2018,,
Hiranandani Kingston,By House of Hiranandani  in Akshayanagar,Akshayanagar,1811 - 1814 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														1.01Cr  - 1.01Cr 							",,Ongoing,Possession: Jan-2021,,
Kritan Iris,By Kritan Urbane Living in Electronic City Phase II,Electronic City Phase II,1590 - 2125 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														55L  - 80L 							",,Ongoing,Possession: Oct-2017,Launched: Jan-2016,
Shriram Summitt,By Shriram Properties in Electronic City Phase I,Electronic City Phase I,1175 - 1275 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														59.52L  - 65.45L 							",,Ongoing,Possession: Sep-2019,Launched: Oct-2015, REGISTRATION NO. PR/KN/170804/001121
The Lake View Address,By The Address Makers in Electronic City Phase I,Electronic City Phase I,1200 - 2000 sq.ft,"
								 Plot
								Availability*: Yes
							","
														 
														55L  - 88L 							",,Ongoing,Possession: Dec-2017,Launched: Apr-2014, REGISTRATION NO. PR/KN/170731/000725
Skylark Royaume,By Skylark Mansions Pvt Ltd in Hosa Road,Hosa Road,1040 - 1278 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														45.44L  - 63.88L 							",,Ongoing,Possession: Oct-2020,Launched: Nov-2015, REGISTRATION NO. PR/KN/170728/000047
Kolte Patil I TOWERS Exente,By Kolte Patil Developers Ltd in Electronic City Phase I,Electronic City Phase I,1391 sq.ft,"
								2.5 BHK Apartment
								Availability*: Yes
							","
														 
														79.83L 							",,Ongoing,Possession: Dec-2021,Launched: Dec-2017, REGISTRATION NO. PR/ KN/170731/000862
Keerthi Royal Palms,By Keerthi Estates Pvt Ltd in Hosur Road,Hosur Road,1225 - 1780 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														50.22L  - 72.98L 							",,Ongoing,Possession: Dec-2017,, REGISTRATION NO. PR/KN/170830/001598
Surath Sun Shine,By Surath Builders in Akshayanagar,Akshayanagar,1432 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														50.12L 							",,Ongoing,Possession: Dec-2017,,
Sunshine Signature,By United Estates Builders Pvt Ltd. in Off Sarjapur road,Off Sarjapur road,2575 - 3388 sq.ft,"
								4 BHK RowHouse
								Availability*: Yes
							","
														 
														1.69Cr  - 2.20Cr 							",,Ongoing,Possession: Dec-2018,Launched: May-2017,
ND Around The Mangoes,By ND Developers Pvt Ltd in Off Sarjapur road,Off Sarjapur road,4660 - 4920 sq.ft,"
								4 BHK Villa
								Availability*: Yes
							","
														 
														4.19Cr  - 4.42Cr 							",,Ongoing,Possession: Dec-2018,, REGISTRATION NO. PR/KN/170818/001346
Sobha Dream Acres,By Sobha Limited in Panathur,Panathur,1012 - 1210 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														64.79L  - 77.93L 							",,Ongoing,Possession: Mar-2019,Launched: Feb-2015,
Kristal Amethyst,By Kristal Group in Sarjapur Road,Sarjapur Road,1750 - 2400 sq.ft,"
								4 BHK Villa
								Availability*: Yes
							","
														 
														1.58Cr  - 2.18Cr 							",,Ongoing,Possession: Nov-2018,,
Skanda Avani C99,By Skanda Shelters  in Sarjapur Road,Sarjapur Road,3007 - 3142 sq.ft,"
								4 BHK Villa
								Availability*: Yes
							","
														 
														1.65Cr  - 1.72Cr 							",,Ongoing,Possession: Dec-2017,Launched: May-2015,
Skanda Nirvana,By Skanda Buildtech Pvt Ltd in Marathahalli,Marathahalli,2600 sq.ft,"
								4 BHK Villa
								Availability*: Yes
							","
														 
														2.34Cr 							",,Ongoing,Possession: Dec-2017,,
AV Serene Street,By  in Sarjapur Road,Sarjapur Road,2600 sq.ft,"
								4 BHK RowHouse
								Availability*: Yes
							","
														 
														1.35Cr 							",,Ongoing,Possession: Dec-2017,,
Total Environment After The Rain,By Total Environment Building Systems Private Limited in Yelahanka,Yelahanka,3310 - 5120 sq.ft,"
								4 BHK Villa
								Availability*: Yes
							","
														 
														3.95Cr  - 6.11Cr 							",,Ongoing,Possession: May-2018,, REGISTRATION NO. PR/KN/170731/000483
Mahaveer Celesse,By Mahaveer Group in Bellary Road,Bellary Road,1365 - 1599 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														77.51L  - 92.78L 							",,Ongoing,Possession: Jun-2020,Launched: Mar-2016, REGISTRATION NO. PR/KN/170730/000415
GR Commanders City,By GR Group in Yelahanka,Yelahanka,1709 sq.ft,"
								3.5 BHK Apartment
								Availability*: Yes
							","
														 
														48.70L 							",,Ongoing,,,
Salarpuria Sattva Laurel Heights,By Salarpuria Sattva Group in Hesaraghatta,Hesaraghatta,1240 sq.ft,"
								2.5 BHK Apartment
								Availability*: Yes
							","
														 
														81.83L 							",,Ongoing,Possession: Mar-2018,Launched: Nov-2014,
