project_name,project_by,location,Build_Up_Area,Unit_Types,Price,about_project,Project status,possesion,launched,rera_no
Fateh Perfecta Studio,By Fateh Buildtech Pvt Ltd in Bommasandra,Bommasandra,923 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														26.30L 							",,Upcoming,,,
CMRS Budgeted Villas,By CMRS Group in Sarjapur Road,Sarjapur Road,,"
								 Villa
								Availability*: Yes
							","
														NA							",,Upcoming,,,
MJ Lifestyle Amaze,By MJ Infrastructure in Aavalahalli,Aavalahalli,,"
								 Apartment
								Availability*: Yes
							","
														NA							",,Upcoming,,,
BSCPL Bollineni Serene,By BSCPL Infrastructure Limited in Yelahanka,Yelahanka,3350 sq.ft,"
								4 BHK Apartment
								Availability*: Yes
							","
														 
														2.21Cr 							",,Upcoming,Possession: Jul-2018,,
RMZ Marq,By RMZ Homes in Marathahalli-Sarjapur Outer Ring Road,Marathahalli-Sarjapur Outer Ring Road,1693 - 2768 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Upcoming,,,
Unishire Xelix,By Unishire Group in Hennur,Hennur,1400 - 1705 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Upcoming,,,
Keystone Sai Prithvi Elite,By Keystone Properties in Kengeri Satellite Town,Kengeri Satellite Town,1320 - 1375 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														32.34L  - 33.68L 							",,Upcoming,Possession: Jun-2017,,
Chinthala Green Homes,By Chinthala Group in Whitefield,Whitefield,2800 sq.ft,"
								4 BHK RowHouse
								Availability*: Yes
							","
														 
														98L 							",,Upcoming,Possession: Dec-2019,Launched: Jul-2017,
Radiant Serenity,By Radiant Properties in Attibele - Anekal Road,Attibele - Anekal Road,1325 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Upcoming,,,
Citrus Medallion ,By Citrus Ventures Pvt Ltd. in Amrutha Halli,Amrutha Halli,900 - 1800 sq.ft,"
								 Plot
								Availability*: Yes
							","
														NA							",,Upcoming,,,
Mitta Eldora,By Mitta Group  in Ballur,Ballur,,"
								 Villa
								Availability*: Yes
							","
														NA							",,Upcoming,,,
Jaypee Innovative,By Jay Pee Developers in Ballur,Ballur,1600 - 2000 sq.ft,"
								3 BHK Villa
								Availability*: Yes
							","
														NA							",,Upcoming,,,
Kingston Signature,By Bright Wave Projects Pvt Ltd in Off Sarjapur road,Off Sarjapur road,1770 - 1915 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														73.22L  - 78.83L 							",,Upcoming,Possession: Mar-2018,,
Dhammanagi Kings Ville,By Dhammanagi Developerss Private Limited in Devanahalli Road,Devanahalli Road,1736 - 2298 sq.ft,"
								4 BHK Villa
								Availability*: Yes
							","
														 
														1.29Cr  - 1.70Cr 							",,Upcoming,,,
Veracious Villarica,By Veracious Builders & Developers (P) Ltd in Doddaballapur Road,Doddaballapur Road,4500 sq.ft,"
								4 BHK Villa
								Availability*: Yes
							","
														 
														3.20Cr 							",,Upcoming,,,
Breeze Infra Swarna,By Breeze Infra in Dodda Banasvadi,Dodda Banasvadi,1600 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														57.60L 							",,Upcoming,,,
Sipani Jardin Phase II,By Sipani Properties Private Limited in Chandapura,Chandapura,,"
								 Apartment
								Availability*: Yes
							","
														NA							",,Upcoming,,,
S2 Mystic Woods,By S2 Homes in Chandapura,Chandapura,2034 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Upcoming,,,
Fortuna Fair Field,By Fortuna Constructions India Pvt Ltd in Vasanth Nagar,Vasanth Nagar,,"
								 Apartment
								Availability*: Yes
							","
														NA							",,Upcoming,,,
DNR Springdale,By DNR Corporation Pvt. Ltd. in Seshadripuram,Seshadripuram,2916 sq.ft,"
								4 BHK Apartment
								Availability*: Yes
							","
														NA							",,Upcoming,,,
Urban Serenity,By Inner Urban Infraestate P Ltd in Sarjapur,Sarjapur,1830 - 3158 sq.ft,"
								3 BHK Villa
								Availability*: Yes
							","
														 
														91.50L  - 1.57Cr 							",,Upcoming,,, REGISTRATION NO. PR/KN/170831/001592
Pooja Tree shades,By Pooja Crafted Homes Pvt Ltd in Hennur,Hennur,3400 sq.ft,"
								2 BHK Villa
								Availability*: Yes
							","
														NA							",,Upcoming,,,
CMRS Celestia,By CMRS Group in BEML Layout,BEML Layout,1589 - 1640 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Upcoming,Possession: Dec-2016,,
Poorvi Srinivasa Grand,By Poorvi Housing Development Company Pvt Ltd in Talaghattapura,Talaghattapura,,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Upcoming,,,
Geown Legacy,By Geown Properties Pvt Ltd in Gunjur,Gunjur,1500 - 1600 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														42L  - 44.80L 							",,Upcoming,,,
Anish Green County Villas,By Anish Projects in Whitefield,Whitefield,1987 - 3174 sq.ft,"
								4 BHK Villa
								Availability*: Yes
							","
														 
														83.45L  - 1.33Cr 							",,Upcoming,Possession: Sep-2017,,
TCH Sonavi Residency,By The Creative Homes in Whitefield,Whitefield,900 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														23.40L 							",,Upcoming,Possession: Dec-2017,,
CMRS Quanta,By CMRS Group in Koralur,Koralur,1323 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Upcoming,,,
Magnolia Temple Tree Phase II ,By Magnolia group in Mayaghanahalli,Mayaghanahalli,1200 - 2400 sq.ft,"
								 Plot
								Availability*: Yes
							","
														NA							",,Upcoming,,,
Aashrayaa Temple Heights,By Aashrayaa Projects in Chikkabidarakallu,Chikkabidarakallu,,"
								 Apartment
								Availability*: Yes
							","
														NA							",,Upcoming,,,
Redifice Adonis,By Redifice Developers in Dollars Colony,Dollars Colony,1878 - 2243 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														1.83Cr  - 2.20Cr 							",,Upcoming,Possession: Apr-2017,,
Asian Riva,By Asian Realty in Devanahalli,Devanahalli,1232 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														NA							",,Upcoming,Possession: Dec-2020,,
Pariwar Pragathi,By Pariwar Housing in Kammanahalli,Kammanahalli,,"
								 Apartment
								Availability*: Yes
							","
														NA							",,Upcoming,,, REGISTRATION NO. PR/KN/170831/001686
Sai Guru Sundale Villas,By Sai Guru Projects in Sarjapur Attibele Road,Sarjapur Attibele Road,2857 - 3236 sq.ft,"
								3 BHK Villa
								Availability*: Yes
							","
														NA							",,Upcoming,,,
Celebrity Natures Habitat Phase - II,By Celebrity Structures India Pvt.Ltd. in Attibele,Attibele,1735 - 2229 sq.ft,"
								3 BHK Villa
								Availability*: Yes
							","
														 
														68.34L  - 87.80L 							",,Upcoming,,,
Terracon Haven,By Terracon Projects in Attibele,Attibele,1931 sq.ft,"
								4 BHK Apartment
								Availability*: Yes
							","
														 
														34.76L 							",,Upcoming,Possession: Jun-2017,,
Sona Vistaas,By  in Bannerghatta Road,Bannerghatta Road,,"
								2 BHK Apartment
								Availability*: Yes
							","
														NA							",,Upcoming,,, REGISTRATION NO. PR/KN/170831/001748
Fortuna MSR,By Fortuna Constructions India Pvt Ltd in Mathikere,Mathikere,,"
								 Apartment
								Availability*: Yes
							","
														NA							",,Upcoming,,,
Man Imperia,By Man Buildtech in Bannerghatta Road,Bannerghatta Road,1200 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														NA							",,Upcoming,,,
SK Briar,By SK Projects  in Hosa Road,Hosa Road,1462 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Upcoming,,,
Mahaveer Ritz,By Mahaveer Group in JP Nagar Phase 7,JP Nagar Phase 7,1196 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														59.80L 							",,Upcoming,Possession: Dec-2019,Launched: Jul-2017,
Salarpuria Sattva Misty Charm,By Salarpuria Sattva Group in Kanakapura Road,Kanakapura Road,1254 - 1475 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Upcoming,,, REGISTRATION NO. PR/KN/180206/002684
