photoghraphy_description,photoghraphy_title,photoghraphy_number,photoghraphy_address,photoghraphy_photos
"RKM Caterers is a caterer based out of Bangalore . RKM Caterers's telephone number is ,,  address is 25, 12th Main Rd, LIC Colony, Yeshwanthpur, Bangalore, Karnataka- 560054, India..,RKM Caterers is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing RKM Caterers  offers various packages starting at Rs ,/-.,Has been viewed 5 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book RKM Caterers at guaranteed prices and with peace of mind.","
		,RKM Caterers, Bangalore,		
	",tel:76-66-77-88-99,"
						25, 12th Main Rd, LIC Colony, Yeshwanthpur, Bangalore, Karnataka- 560054, India.
					","https://media.weddingz.in/images/d3286cf37a8ba69736ffb4421f9b66fa/rkm_caterers_caterers_bangalore_20724.jpg,https://media.weddingz.in/images/856386728e7596466e1abcaebe04d9ec/rkm_caterers_caterers_bangalore_20724.jpg,https://media.weddingz.in/images/a1860b25fdf7af79184ce486456c170d/rkm_caterers_caterers_bangalore_20844.jpg,https://media.weddingz.in/images/6da1118e17281ea415bd9e8ac1bcfc0e/rkm_caterers_caterers_bangalore_20845.jpg,https://media.weddingz.in/images/3ea64f1d6bb8390dc151b36cbb2ccab0/rkm_caterers_caterers_bangalore_20846.jpg,https://media.weddingz.in/images/62d6e489bc60eee18385b5c3d4cc3035/rkm_caterers_caterers_bangalore_20847.jpg"
"KS Group Catering Services is a caterer based out of Bangalore . KS Group Catering Services's telephone number is ,,  address is Kathreguppe, BSK 3rd Stage, Banashankari, Bangalore, Karnataka, India..,KS Group Catering Services is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing KS Group Catering Services  offers various packages starting at Rs ,/-.,Has been viewed 1 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book KS Group Catering Services at guaranteed prices and with peace of mind.","
		,KS Group Catering Services, Bangalore,		
	",tel:76-66-77-88-99,"
						Kathreguppe, BSK 3rd Stage, Banashankari, Bangalore, Karnataka, India.
					","https://media.weddingz.in/images/3098a89775769bb586460d0eaa586e39/ks_group_catering_services_caterers_bangalore_20712.jpg,https://media.weddingz.in/images/da68fc3f5502b9e7048c7e9cbfd83680/ks_group_catering_services_caterers_bangalore_20712.jpg,https://media.weddingz.in/images/6f3e23d181a252f1b4bb55411d1f0262/ks_group_catering_services_caterers_bangalore_20788.jpg,https://media.weddingz.in/images/3de18a4b227266e78f638f64a5e15603/ks_group_catering_services_caterers_bangalore_20789.jpg,https://media.weddingz.in/images/3fc6d28e2d286c1e71c14c7fd6272b27/ks_group_catering_services_caterers_bangalore_20790.jpg,https://media.weddingz.in/images/f0411ec880597cb59800a23b24e7f2e2/ks_group_catering_services_caterers_bangalore_20791.jpg"
"Royal Caterer is a caterer based out of Jayanagar, Bangalore . Royal Caterer's telephone number is ,,  address is Jayanagar Bangalore 19.,In terms of pricing Royal Caterer  offers various packages starting at Rs ,/-.,Has been viewed 9 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Royal Caterer at guaranteed prices and with peace of mind.","
		,Royal Caterer, Bangalore,		
	",tel:+919886696666,"
						Jayanagar Bangalore 19
					","https://media.weddingz.in/images/f32183c61ca680f4b69ff098f5fb27dd/DSC_8111.jpg,https://media.weddingz.in/images/b9a251ea578f12c1d7d4702b5334a623/IMG_2715.jpg,https://media.weddingz.in/images/0aea5ecbf94c017c4019be0a0ce93eeb/BABA8195.jpg,https://media.weddingz.in/images/a9e76340bf0cdabf3d443b594b1275c1/DSC_7789.jpg,https://media.weddingz.in/images/fddc8400baf40d9a2908766618a73e47/IMG_0729.jpg,https://media.weddingz.in/images/61283a4f2a95171ddfec80e9d8972888/DSC_8113.jpg,https://media.weddingz.in/images/9682a37d0910d117e8194a76e1f59b6c/DSC_8136.jpg,https://media.weddingz.in/images/cfef7313f31523f50ca229b4c0f7a795/IMG_0713.jpg,https://media.weddingz.in/images/9d056bc177b83a02f599dd5ec88ed2fe/DSC_8131.jpg"
"Nadella's kitchen Caterers is a caterer based out of Bangalore . Nadella's kitchen Caterers's telephone number is ,, Nadella's kitchen Caterers website address is ,, address is .,Nadella's kitchen Caterers is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing Nadella's kitchen Caterers  offers various packages starting at Rs ,/-.,Has been viewed 1 times and shortlisted by 0 customers over the last month.,There are 0 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Nadella's kitchen Caterers at guaranteed prices and with peace of mind.","
		,Nadella's kitchen Caterers, Bangalore,		
	",tel:76-66-77-88-99,"
						
					",https://media.weddingz.in/images/4a48d2b650c7e957539c8c78abef6216/nadellas_kitchen_caterers_caterers_bangalore_20769.jpg
"Goyal Caterers is a caterer based out of Bangalore . Goyal Caterers's telephone number is ,,  address is Dasarahalli, Bangalore, Karnataka, India..,Goyal Caterers is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing Goyal Caterers  offers various packages starting at Rs ,/-.,Has been viewed 1 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Goyal Caterers at guaranteed prices and with peace of mind.","
		,Goyal Caterers, Bangalore,		
	",tel:76-66-77-88-99,"
						Dasarahalli, Bangalore, Karnataka, India.
					","https://media.weddingz.in/images/69c32c1f207c4ad9f1e2e539ad9f7c09/goyal_caterers_caterers_bangalore_20709.jpg,https://media.weddingz.in/images/e21e850eab327f344fb7c95113611c68/goyal_caterers_caterers_bangalore_20709.jpg,https://media.weddingz.in/images/187d45968df7c61c9004a60683f442d3/goyal_caterers_caterers_bangalore_20777.jpg,https://media.weddingz.in/images/4678a27b49d55d28b72fe64862ab87d9/goyal_caterers_caterers_bangalore_20778.jpg,https://media.weddingz.in/images/bb2700424dd19c1132bda4adbe543f5a/goyal_caterers_caterers_bangalore_20779.jpg,https://media.weddingz.in/images/71a82e15bcdd86cb27f679678adb6723/goyal_caterers_caterers_bangalore_20780.jpg"
"Sheshasri Caterers is a caterer based out of Bangalore . Sheshasri Caterers's telephone number is ,,  address is 11th Cross Rd, Lakshminarayanapuram, Rajajinagar, Bangalore, Karnataka- 560021, India..,Sheshasri Caterers is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing Sheshasri Caterers  offers various packages starting at Rs ,/-.,Has been viewed 1 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Sheshasri Caterers at guaranteed prices and with peace of mind.","
		,Sheshasri Caterers, Bangalore,		
	",tel:76-66-77-88-99,"
						11th Cross Rd, Lakshminarayanapuram, Rajajinagar, Bangalore, Karnataka- 560021, India.
					","https://media.weddingz.in/images/3bc3dd88e7232e8e33855069ca107338/sheshasri_caterers_caterers_bangalore_20721.jpg,https://media.weddingz.in/images/1cc1ecc431726408e6dd95855a30279c/sheshasri_caterers_caterers_bangalore_20721.jpg,https://media.weddingz.in/images/43dbc9135772a072c0f924caca719ee3/sheshasri_caterers_caterers_bangalore_20798.jpg,https://media.weddingz.in/images/5b7aa9299ad9dba7012e2877b6c7cc39/sheshasri_caterers_caterers_bangalore_20799.jpg"
"MKS Catering Services is a caterer based out of Bangalore . MKS Catering Services's telephone number is ,,  address is Sri Bala Gangadhar Medicals & General Store, Ittamadu, BSK 3rd Stage, Banashankari, Bangalore, Karnataka- 560085, India..,MKS Catering Services is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing MKS Catering Services  offers various packages starting at Rs ,/-.,Has been viewed 1 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book MKS Catering Services at guaranteed prices and with peace of mind.","
		,MKS Catering Services, Bangalore,		
	",tel:76-66-77-88-99,"
						Sri Bala Gangadhar Medicals & General Store, Ittamadu, BSK 3rd Stage, Banashankari, Bangalore, Karnataka- 560085, India.
					","https://media.weddingz.in/images/198a9e1520741f7d92334278d895452a/mks_catering_services_caterers_bangalore_20725.jpg,https://media.weddingz.in/images/5b32c907e1b61023db078ea305f74c1b/mks_catering_services_caterers_bangalore_20725.jpg,https://media.weddingz.in/images/7ce462ca143530dd4d2d4357d26cc3d2/mks_catering_services_caterers_bangalore_20881.jpg,https://media.weddingz.in/images/dbd78125ec5f1273d43bad51b3aea917/mks_catering_services_caterers_bangalore_20883.jpg"
"Sangam Caterers is a caterer based out of Bangalore . Sangam Caterers's telephone number is ,,  address is Bangalore, Karnataka- 560010, India..,Sangam Caterers is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing Sangam Caterers  offers various packages starting at Rs ,/-.,Has been viewed 4 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Sangam Caterers at guaranteed prices and with peace of mind.","
		,Sangam Caterers, Bangalore,		
	",tel:76-66-77-88-99,"
						Bangalore, Karnataka- 560010, India.
					","https://media.weddingz.in/images/b94d635dcadb3a2f6f7de07c6a0db3bb/sangam_caterers_caterers_bangalore_20723.jpg,https://media.weddingz.in/images/61d389e5e7120f7395908db2eed87fc9/sangam_caterers_caterers_bangalore_20723.jpg,https://media.weddingz.in/images/34fd17aea30eec1ff540e76ec7ecd7d3/sangam_caterers_caterers_bangalore_20848.jpg,https://media.weddingz.in/images/e71fc1bf23e86049ab064cf7acdb98e4/sangam_caterers_caterers_bangalore_20849.jpg,https://media.weddingz.in/images/90ea184f46a111a547ab71ecf16f3435/sangam_caterers_caterers_bangalore_20850.jpg,https://media.weddingz.in/images/1550fa2c8353f744fa9f7066a9b68816/sangam_caterers_caterers_bangalore_20851.jpg"
"Durga Caterers is a caterer based out of Bangalore . Durga Caterers's telephone number is ,,  address is 9th Main Road, Shivanagar, Basaveshwara Nagar, Bangalore, Karnataka- 560010, India..,Durga Caterers is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing Durga Caterers  offers various packages starting at Rs ,/-.,Has been viewed 1 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Durga Caterers at guaranteed prices and with peace of mind.","
		,Durga Caterers, Bangalore,		
	",tel:76-66-77-88-99,"
						9th Main Road, Shivanagar, Basaveshwara Nagar, Bangalore, Karnataka- 560010, India.
					","https://media.weddingz.in/images/bc6e6963c1cc9276db49e297cb3c0984/durga_caterers_caterers_bangalore_20878.jpg,https://media.weddingz.in/images/273f65bf4d9c0a69b0268288ad7c767c/durga_caterers_caterers_bangalore_20878.jpg,https://media.weddingz.in/images/ffd58402b6f5a9b680148f1983138c76/durga_caterers_caterers_bangalore_20879.jpg,https://media.weddingz.in/images/8d68e3b8dd44fc5467c8f32975b48e72/durga_caterers_caterers_bangalore_20880.jpg"
"Elegant Hotels & Hospitality Services  is a caterer based out of Bangalore . Elegant Hotels & Hospitality Services 's telephone number is ,,  address is 714, 14th Cross Rd, 2nd Block, Nagarbhavi 1st stage, Chandra Layout, Chandra Layout, Bangalore, Karnataka- 560072, India..,Elegant Hotels & Hospitality Services  is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing Elegant Hotels & Hospitality Services   offers various packages starting at Rs ,/-.,Has been viewed 2 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Elegant Hotels & Hospitality Services  at guaranteed prices and with peace of mind.","
		,Elegant Hotels & Hospitality Services , Bangalore,		
	",tel:76-66-77-88-99,"
						714, 14th Cross Rd, 2nd Block, Nagarbhavi 1st stage, Chandra Layout, Chandra Layout, Bangalore, Karnataka- 560072, India.
					","https://media.weddingz.in/images/6685dc646ff78a416f957ccee82698cd/elegant_hotels_hospitality_services_caterers_bangalore_20852.jpg,https://media.weddingz.in/images/439fa3fa3902cce60acb900eb7240a4d/elegant_hotels_hospitality_services_caterers_bangalore_20852.jpg,https://media.weddingz.in/images/df5ecdb68039fa33586cb52d709badfb/elegant_hotels_hospitality_services_caterers_bangalore_20854.jpg,https://media.weddingz.in/images/5cf80a9c4ccbdb7c60e9cf2cb1eb2a49/elegant_hotels_hospitality_services_caterers_bangalore_20855.jpg,https://media.weddingz.in/images/2f26ef0fd1f2e7812095cbdd1937433b/elegant_hotels_hospitality_services_caterers_bangalore_20856.jpg"
