photoghraphy_description,photoghraphy_title,photoghraphy_number,photoghraphy_address,photoghraphy_photos
"Divine is a Bridal Makeup Artist based out of Banshankari, Bangalore . Divine's telephone number is ,,  address is 4th main, 4th Cross, Uttarahalli, Kathriguppe Banglaore.,In terms of pricing Divine  offers various packages starting at Rs ,/-.,Has been viewed 9 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Divine at guaranteed prices and with peace of mind.","
		,Divine, Bangalore,		
	",tel:+919844896600,"
						4th main, 4th Cross, Uttarahalli, Kathriguppe Banglaore
					","https://media.weddingz.in/images/e7089bbcac15f7f7da532e5d23f1e331/makeover-by-gowthami-makeup-artists-bangalore.jpg,https://media.weddingz.in/images/6f23334f02865960ccd0cead9b0cbab7/makeover-by-gowthami-photos-bangalore-2.jpg,https://media.weddingz.in/images/07e6d8f6e3502ff37e0f878ea876a37f/makeover-by-gowthami-photos-bangalore-1.jpg,https://media.weddingz.in/images/d2138eccb230f320e0368d2d500fa327/makeover-by-gowthami-photos-bangalore-2.jpg,https://media.weddingz.in/images/8533045b339ea44c9ef798e3030e18dc/makeover-by-gowthami-photos-bangalore-3.jpg,https://media.weddingz.in/images/55907cb1b29c22bc0b70f3d647121688/makeover-by-gowthami-photos-bangalore-4.jpg,https://media.weddingz.in/images/a7e6810ac7e1f2284be92bb618d53475/makeover-by-gowthami-photos-bangalore-16.jpg,https://media.weddingz.in/images/71a67fa8c62d3f7c075c8335995798f9/makeover-by-gowthami-photos-bangalore.jpg,https://media.weddingz.in/images/22c1015296a201db0cbd8227b63e09b1/makeover-by-gowthami-photos-bangalore-1.jpg,https://media.weddingz.in/images/c87c6ef1ae2445cfaea9a5ae8b091ff6/makeover-by-gowthami-photos-bangalore-2.jpg"
"Mirror Mirror is a Bridal Makeup Artist based out of Bangalore . Mirror Mirror's telephone number is ,,  Facebook page is , and address is Bannerghatta Main Rd, Bengaluru, Karnataka 560083, India.,In terms of pricing Mirror Mirror  offers various packages starting at Rs ,/-.,Has been viewed 5 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Mirror Mirror at guaranteed prices and with peace of mind.","
		,Mirror Mirror, Bangalore,		
	",tel:76-66-77-88-99,"
						Bannerghatta Main Rd, Bengaluru, Karnataka 560083, India
					","https://media.weddingz.in/images/3205a4719aa8f19a69f6f0a86563c2ed/235ed051-57b3-4d4b-b78d-bfffcb75d2dc.jpg,https://media.weddingz.in/images/72aa34be735e5ea39095f81218c5f279/MM12.jpg,https://media.weddingz.in/images/1516a1ede7b8082e155c44aefbfd4f99/MM10.jpg,https://media.weddingz.in/images/ef0d438b4f4bbe7c61646a8ffa538b9f/MM8.jpg,https://media.weddingz.in/images/49a698dd167561b96af06a8815fa2504/MM7.jpg,https://media.weddingz.in/images/a33e677cb29a030c800cb467869dfee5/MM6.jpg,https://media.weddingz.in/images/6359affd525268c87984c2ba79e7087b/MM5.jpg,https://media.weddingz.in/images/0a3fd249ea194857ee0bd33e53b12891/MM2.jpg,https://media.weddingz.in/images/cc827a1ec7bd309332f142c7a725e5e6/MM1.jpg,https://media.weddingz.in/images/6c2de6c646bb06fc18aad8fe4db2fe8c/1cb3d467-7d7d-41ae-a1d7-5a3435c9493c.jpg,https://media.weddingz.in/images/8607ec4d33319ea35c69bbcb4263ea7e/4ab9d601-a174-4a3c-af54-c803c479c7e4.jpg"
"Inspire Makeovers is a Bridal Makeup Artist based out of Rajajinagar, Bangalore . Inspire Makeovers's telephone number is ,,  Facebook page is , and address is 244 1st N block 9th cross
rajajinagar.,In terms of pricing Inspire Makeovers  offers various packages starting at Rs ,/-.,Has been viewed 0 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Inspire Makeovers at guaranteed prices and with peace of mind.","
		,Inspire Makeovers, Bangalore,		
	",tel:76-66-77-88-99,"
						244 1st N block 9th cross
rajajinagar
					","https://media.weddingz.in/images/3330f0f643761c3c237310358d27421c/inspire-makeovers-makeup-artists-bangalore-1.jpg,https://media.weddingz.in/images/8a0ee7a1b537fd7edb691e2d13aba9e6/inspire-makeovers-wedding-and-fashion-bangalore.jpg,https://media.weddingz.in/images/25998962710486e32b7bc9500fc72f66/inspire-makeovers-wedding-and-fashion-bangalore-1.jpg,https://media.weddingz.in/images/6442c3492fdc72f80ac40150cb44896d/inspire-makeovers-wedding-and-fashion-bangalore-2.jpg,https://media.weddingz.in/images/581316b9c415b2819c2b4fb5c39da0b3/inspire-makeovers-wedding-and-fashion-bangalore-3.jpg,https://media.weddingz.in/images/bf36b147e769d91e8bb9f0b428e09d89/inspire-makeovers-wedding-and-fashion-bangalore-4.jpg,https://media.weddingz.in/images/fc06e39822d6474b702c7bedc230b91f/inspire-makeovers-wedding-and-fashion-bangalore-5.jpg,https://media.weddingz.in/images/9971d591488c10f2a293c378b9b36de2/inspire-makeovers-wedding-and-fashion-bangalore-6.jpg,https://media.weddingz.in/images/9ab0a6402316579e867728070ef16e04/inspire-makeovers-wedding-and-fashion-bangalore-7.jpg,https://media.weddingz.in/images/fb61722a88ecabee1b21fc3851410d03/inspire-makeovers-wedding-and-fashion-bangalore-8.jpg,https://media.weddingz.in/images/04cfd370c8bb30160111dff7b233a362/inspire-makeovers-wedding-and-fashion-bangalore-9.jpg,https://media.weddingz.in/images/958e4abc787f765e4881e9f7446d0981/inspire-makeovers-wedding-and-fashion-bangalore-10.jpg,https://media.weddingz.in/images/eeddf3d37e07f002d4cf11b5c82effa1/inspire-makeovers-wedding-and-fashion-bangalore-11.jpg,https://media.weddingz.in/images/b418360475c9e18d43fbd32c212a682a/inspire-makeovers-wedding-and-fashion-bangalore-12.jpg,https://media.weddingz.in/images/81d8fd6c9f98835b135e3cd1382b6492/inspire-makeovers-wedding-and-fashion-bangalore-13.jpg,https://media.weddingz.in/images/93e5cfea1d05633224c8e0101293d276/inspire-makeovers-wedding-and-fashion-bangalore-14.jpg,https://media.weddingz.in/images/b788a4dfa984feae824653d504bdcd9c/inspire-makeovers-wedding-and-fashion-bangalore-15.jpg,https://media.weddingz.in/images/1db509fec9cabb0c46843f15ced46b28/inspire-makeovers-wedding-and-fashion-bangalore-16.jpg,https://media.weddingz.in/images/51b1000e6cf519264c51e63d0db0a617/inspire-makeovers-wedding-and-fashion-bangalore-17.jpg,https://media.weddingz.in/images/09a06c0997cd22a6254c4fb6c46dc72c/inspire-makeovers-wedding-and-fashion-bangalore-18.jpg,https://media.weddingz.in/images/03a02c4719fc4f0b0e874e2b9bfd1017/inspire-makeovers-wedding-and-fashion-bangalore-19.jpg,https://media.weddingz.in/images/73fa2f5a8f314094b573cd3ccc2013c4/inspire-makeovers-wedding-and-fashion-bangalore.jpg,https://media.weddingz.in/images/993e28de63af5b2b7eac5b0ecfde847e/inspire-makeovers-wedding-and-fashion-bangalore-1.jpg,https://media.weddingz.in/images/8eba99a388e3afcdc2e4ee9b0893eab1/inspire-makeovers-wedding-and-fashion-bangalore-2.jpg,https://media.weddingz.in/images/d4c1bdf1a0d3ec19d675defd543df072/inspire-makeovers-wedding-and-fashion-bangalore-3.jpg,https://media.weddingz.in/images/a480dc45d611b9dcbdeba8ea06b9634a/inspire-makeovers-wedding-and-fashion-bangalore-4.jpg"
"Mallik makeup artist is a Bridal Makeup Artist based out of Bangalore . Mallik makeup artist's telephone number is ,,  address is Bengaluru, Karnataka 560001, India.,In terms of pricing Mallik makeup artist  offers various packages starting at Rs ,/-.,Has been viewed 11 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Mallik makeup artist at guaranteed prices and with peace of mind.","
		,Mallik makeup artist, Bangalore,		
	",tel:76-66-77-88-99,"
						Bengaluru, Karnataka 560001, India
					","https://media.weddingz.in/images/d6d770c6a3ef7e50c6b373384e833187/IMG_5129.jpg,https://media.weddingz.in/images/5246cf1233ad74c5c091f5c6ba35345a/IMG_5135.jpg,https://media.weddingz.in/images/ac3238760602ac79af5895a0460b8d3c/IMG_5133.jpg,https://media.weddingz.in/images/aec5c2bb8e169bc84840827169975e29/IMG_5132.jpg,https://media.weddingz.in/images/d000efa11b613286986fbf96dae532d7/IMG_5131.jpg,https://media.weddingz.in/images/b83ad869f5ef43d4e23896ac5a59a677/IMG_5130.jpg,https://media.weddingz.in/images/93a652d68acde71cf69ed4a20e54335d/IMG_5127.jpg,https://media.weddingz.in/images/5156989560152da478cf646e4dab6082/IMG_5123.jpg,https://media.weddingz.in/images/06b03e338a1a8846a243cc3ac3522160/IMG_5122.jpg"
"Nikki Neeladri Makeup is a Bridal Makeup Artist based out of Bangalore . Nikki Neeladri Makeup's telephone number is ,, Nikki Neeladri Makeup website address is ,, address is Cooke Town Park, Cline Rd, Balaji Layout, Cooke Town, Bengaluru, Karnataka 560084, India.,In terms of pricing Nikki Neeladri Makeup  offers various packages starting at Rs ,/-.,Has been viewed 6 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Nikki Neeladri Makeup at guaranteed prices and with peace of mind.","
		,Nikki Neeladri Makeup, Bangalore,		
	",tel:76-66-77-88-99,"
						Cooke Town Park, Cline Rd, Balaji Layout, Cooke Town, Bengaluru, Karnataka 560084, India
					","https://media.weddingz.in/images/dc5bcd78105ae96f20db51bf5738aa3e/10996803_726464937471611_8012267726326984842_n.jpg,https://media.weddingz.in/images/6b3e754886524566442262a392936027/11416347_769820713136033_4911971602464109594_o.jpg,https://media.weddingz.in/images/a02ca3161ada54cac01e91d4af8ecece/11406247_776196689165102_2933145360792337869_o.jpg,https://media.weddingz.in/images/928145ad6408b43795540b2da03e305b/1897911_776195509165220_1429589454920176773_n.jpg,https://media.weddingz.in/images/bab5fd581f6f7f1c1372049aa73400d9/1896973_776193602498744_3056996486050080224_n.jpg"
"Tony Michael Makeup is a Bridal Makeup Artist based out of Bangalore . Tony Michael Makeup's telephone number is ,,  Facebook page is , and address is Bengaluru, Karnataka 560001, India.,In terms of pricing Tony Michael Makeup  offers various packages starting at Rs ,/-.,Has been viewed 14 times and shortlisted by 1 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Tony Michael Makeup at guaranteed prices and with peace of mind.","
		,Tony Michael Makeup, Bangalore,		
	",tel:76-66-77-88-99,"
						Bengaluru, Karnataka 560001, India
					","https://media.weddingz.in/images/860224d933a57d4af93c8a58b773281e/19a62834-82cf-41f9-96cf-f773aeb5b8bd.jpg,https://media.weddingz.in/images/6c770ab7e973772c55c21d68b1b2ed88/T16.jpg,https://media.weddingz.in/images/1b9e5322161460912513db162c4f9a6b/PicsArt_04-04-08.12.18.jpg,https://media.weddingz.in/images/e81b721521260e5b9780a8e59b5c4dbd/PicsArt_04-04-08.10.46.jpg,https://media.weddingz.in/images/79b342d7b649318e824c15b071e41e36/PicsArt_03-26-10.28.43.jpg,https://media.weddingz.in/images/8cb56bd660c23e79c319698013ad007b/PicsArt_04-16-08.44.49.jpg,https://media.weddingz.in/images/f9fd798f7cc841c1ad5f7bcb60089ace/PicsArt_04-15-09.03.05.jpg"
"Style Me Pretty is a Bridal Makeup Artist based out of Bangalore . Style Me Pretty's telephone number is ,,  address is 42, Lavelle Road, D' Souza Layout, Ashok Nagar, Bengaluru, Karnataka 560001, India.,In terms of pricing Style Me Pretty  offers various packages starting at Rs ,/-.,Has been viewed 5 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Style Me Pretty at guaranteed prices and with peace of mind.","
		,Style Me Pretty, Bangalore,		
	",tel:76-66-77-88-99,"
						42, Lavelle Road, D' Souza Layout, Ashok Nagar, Bengaluru, Karnataka 560001, India
					","https://media.weddingz.in/images/ae3641cd8c0f8ab473cac04377122a7e/image3_EhFIF6n.jpg,https://media.weddingz.in/images/b93e37909225d4c971de909395b54b47/image8.jpg,https://media.weddingz.in/images/36843a38c79816a4b38e0183e1b19882/image7.jpg,https://media.weddingz.in/images/6f55e3494372ddd806eeb07dae701a42/image6_dSm2OkM.jpg,https://media.weddingz.in/images/d24f31713362487b3bc129a8c77a0182/image5_eDwIMzC.jpg,https://media.weddingz.in/images/465e2c682717d2d5127917ceed42247e/image4_DAzgNC8.jpg,https://media.weddingz.in/images/c774ff20194539bc3305e0a209586345/image2.jpg,https://media.weddingz.in/images/551a56f05f5e9589a39a23a4a91c3584/image1_zGpEzhl.jpg,https://media.weddingz.in/images/ff1abedd922cc2821c769937b5fe440c/1_BkOEyOI.jpg"
"Makeup Profile By Shalini Narayanan Bangalore is a Bridal Makeup Artist based out of Bangalore . Makeup Profile By Shalini Narayanan Bangalore's telephone number is ,,  Facebook page is , and address is Koramangala, Bengaluru, Karnataka, India.,In terms of pricing Makeup Profile By Shalini Narayanan Bangalore  offers various packages starting at Rs ,/-.,Has been viewed 5 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Makeup Profile By Shalini Narayanan Bangalore at guaranteed prices and with peace of mind.","
		,Makeup Profile By Shalini Narayanan Bangalore, Bangalore,		
	",tel:76-66-77-88-99,"
						Koramangala, Bengaluru, Karnataka, India
					","https://media.weddingz.in/images/202e9cd0b21710534531192045ebda13/sn4.jpg,https://media.weddingz.in/images/ddd270ca4cdf0d8b7fc518ff49fb75a8/sn8.jpg,https://media.weddingz.in/images/eb065c277bd770b9c61f9de213bb0813/sn3.jpg,https://media.weddingz.in/images/8e294d9a442b441e18c94deb4b90e312/sn2.jpg,https://media.weddingz.in/images/6f38de581ec2fa854261ba6614b187cb/SN1.jpg"
"Makeup by Vejetha Anand is a Bridal Makeup Artist based out of Bangalore . Makeup by Vejetha Anand's telephone number is ,, Makeup by Vejetha Anand website address is ,, Facebook page is , and address is RT Nagar, Bengaluru, Karnataka 560032, India.,In terms of pricing Makeup by Vejetha Anand  offers various packages starting at Rs ,/-.,Has been viewed 36 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Makeup by Vejetha Anand at guaranteed prices and with peace of mind.","
		,Makeup by Vejetha Anand, Bangalore,		
	",tel:76-66-77-88-99,"
						RT Nagar, Bengaluru, Karnataka 560032, India
					","https://media.weddingz.in/images/c89c64688eeb661c387c7a575c9a3015/v9_slQgZsm.jpg,https://media.weddingz.in/images/94b89cd7be147b4d94a616423da9ec8d/v9_slQgZsm.jpg,https://media.weddingz.in/images/74bb3dab1034360e9f3b5feba1090ea9/v8_9WzCDoO.jpg,https://media.weddingz.in/images/ee530375ce36caa39004a464f3e77742/v6_KRfGhtP.jpg,https://media.weddingz.in/images/df0eba6b4c742a97a3e0722e5d68eeef/v5_3FZgloC.jpg,https://media.weddingz.in/images/50bbdaa99996730d1a2599530d60b9cb/v4_XdZdfLA.jpg,https://media.weddingz.in/images/d1a9e58b17f0530ee456cf920867e6f4/v3_FrhawLh.jpg,https://media.weddingz.in/images/ced96f2485d4e805b6b7bf9083b4a861/v2_2MSYo1T.jpg,https://media.weddingz.in/images/d577ddd02678ee62b209f00c0f1e18fb/V1.jpg"
"Make up by Rekha Krishna Murthy is a Bridal Makeup Artist based out of Bangalore . Make up by Rekha Krishna Murthy's telephone number is ,, Make up by Rekha Krishna Murthy website address is ,, address is 1314, 32nd Cross Rd, Kumaraswamy Layout, Bengaluru, Karnataka 560078, India.,In terms of pricing Make up by Rekha Krishna Murthy  offers various packages starting at Rs ,/-.,Has been viewed 13 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Make up by Rekha Krishna Murthy at guaranteed prices and with peace of mind.","
		,Make up by Rekha Krishna Murthy, Bangalore,		
	",tel:76-66-77-88-99,"
						1314, 32nd Cross Rd, Kumaraswamy Layout, Bengaluru, Karnataka 560078, India
					","https://media.weddingz.in/images/d175fd4adbe27821f2d37e28c9334e79/rk2_lG0Dwqq.jpg,https://media.weddingz.in/images/0f9ede16a8934581363969ba9b519aba/rk6_z9GbbOR.jpg,https://media.weddingz.in/images/23267859572cd2cea055584dc5588d8f/rk5_tt6aUaS.jpg,https://media.weddingz.in/images/256c4ca23456a422acc8c8953c29f7ef/rk4_gdNq2Td.jpg,https://media.weddingz.in/images/6930efd058745a18ac375c72457df0af/RK1_2nMOD45.jpg"
