Project_name,project_by,location,Super Built Area,Price Range,Price Per Sq Ft,Description,Project Status,possession_date,Bedrooms,units,towers,unit_price,rera_no,lat_lng
"
Celebrity Square
",Celebrity Structures India Pvt Ltd.,"
in Sarjapur Road
, Bangalore

 
","1052
sqft",,,"
Description:


This is a spacious Flat in Celebrity Square, Sarjapur-Attibele Road. 31. 6 Lac is the value of the Flat. The well planned Flat offers latest facilities such as like Swimming Pool, Lift, Power Back Up, Security and Gym.  



",Ready To Move,"
Ready To Move
","
3 BHK
Apartment

",252 Units ,2 Towers ,"(3 BHK Flat->1052 sqft), (3 BHK Flat->1070 sqft), (3 BHK Flat->1092 sqft), (3 BHK Flat->1097 sqft), (3 BHK Flat->1112 sqft) ",,"lat=12.817233,longt=77.79295"
"
Celebrity Natures Habitat
",Celebrity Structures India Pvt Ltd.,"
in Sarjapur-Attibele Road
, Bangalore

 
","1735
sqft","₹
72.5 Lac","₹
4,179 per
sqft","
Description:


Celebrity Nature Habitat Your home is the perfect setting to live out the story of your life .A story, that inspires others and indulge your near and dear ones with the Rays Of Happines. Celebrity Nature's Habitat Fulfills  



",Ongoing,"
Ready To Move
","
3 BHK
Villa

",291 Units ,,"(3 BHK Villa->3388 sqft), (3 BHK Villa->3464 sqft), (3 BHK Villa->3369 sqft), (3 BHK Villa->3314 sqft), (3 BHK Villa->1735 sqft), (3 BHK Villa->1908 sqft), (3 BHK Villa->1756 sqft), (3 BHK Villa->1881 sqft), (3 BHK Villa->2246 sqft), (3 BHK Villa->2229 sqft) ",,"lat=12.817233,longt=77.79295"
"
Zonasha Paradiso
",Zonasha Estates and Projects,"
in Marathahalli
, Bangalore

 
","3765
sqft","₹
3.46 Cr","₹
9,201 per
sqft","
Description:


Luxury homes built around the life and lifestyle of those who are at the pinnacle of success. each home comes with all the right elements to create a living space that complements your achievements 



",Ready To Move,"
Possession in 2018
","
4 BHK
Villa

",137 Units ,,"(4 BHK Villa->3778 sqft), (4 BHK Villa->3753 sqft), (4 BHK Villa->3765 sqft), (4 BHK Villa->4124 sqft), (4 BHK Villa->4169 sqft), (4 BHK Villa->4187 sqft), (4 BHK Villa->4195 sqft) ",,"lat=12.95788,longt=77.704865"
"
Nester Raga
",Nester Projects,"
in Marathahalli
, Bangalore

 
","1850
sqft","₹
1.15 Cr","₹
6,216 per
sqft","
Description:


The Expected price for the Apartment is approx 1. 15 Cr. It is located on 6 level out of 6 floors in all and is also well ventilated. It is a 3 bed room flat located in Nester Raga, Marathahalli. It has 1850. 0 Sq-ft area  



",Ready To Move,"
Possession in 2018
","
3 BHK
Apartment

",195 Units ,3 Towers ,"(2 BHK Flat->1265 sqft), (2 BHK Flat->1424 sqft), (2 BHK Flat->1451 sqft), (3 BHK Flat->1650 sqft), (3 BHK Flat->1707 sqft), (3 BHK Flat->1754 sqft), (3 BHK Flat->1805 sqft), (3 BHK Flat->1850 sqft), (4 BHK Flat->2667 sqft), (4 BHK Flat->2734 sqft) ",,"lat=12.95788,longt=77.704865"
"
Amrutha Dhara
",Bab Dada Builders,"
in AECS Layout
, Bangalore

 
","1099
sqft","₹
41.1 Lac","₹
3,736 per
sqft","
Description:


Best locality with ready to occupy and good quality construction and also very near to upcoming metro station and also good ventilation. 



",Ready To Move,"
Possession in 2018
","
2 BHK
Apartment

",42 Units ,1 Towers ,"(2 BHK Flat->1099 sqft), (2 BHK Flat->1184 sqft), (2 BHK Flat->1221 sqft), (2 BHK Flat->1414 sqft), (2 BHK Flat->1569 sqft) ",,"lat=12.95788,longt=77.704865"
"
Bren Unity
",Bredco Devlopers,"
in Marathahalli
, Bangalore

 
","1251
sqft","₹
75.0 Lac","₹
5,995 per
sqft","
Description:


The flat taken possession in 2014. Kitchen wood work with chimney. One small puja room infront dining. Part woodwork in bedroom 



",Ready To Move,"
Possession in 2018
","
3 BHK
Apartment

",432 Units ,18 Towers ,"(2 BHK Flat->950 sqft), (2 BHK Flat->958 sqft), (2 BHK Flat->1100 sqft), (3 BHK Flat->1251 sqft) ",,"lat=12.95788,longt=77.704865"
"
Sonestaa iWoods
",Nirman Sonesta Developers,"
in Bellandur
, Bangalore

 
","1214
sqft","₹
68.4 Lac","₹
5,632 per
sqft","
Description:


It is a well-designed beautiful Unit situated in Sonestaa iWoods, Bellandur. Around 61. 8 Lac is what the price expected of the Unit. With 2 room and 2 spacious bathrooms, the Unit is Unfurnished. The Unit has modern  



",Ongoing,"
Ongoing
","
2 BHK
Apartment

",292 Units ,9 Towers ,"(2 BHK Flat->1047 sqft), (2 BHK Flat->1214 sqft), (2 BHK Flat->1311 sqft), (3 BHK Flat->1415 sqft), (3 BHK Flat->1505 sqft), (3 BHK Flat->1523 sqft), (3 BHK Flat->1698 sqft), (3 BHK Flat->1718 sqft), (3 BHK Flat->1774 sqft) ",,"lat=12.929566,longt=77.674126"
"
GCN Brindavan
",GCN Group,"
in Whitefield
, Bangalore

 
","1045
sqft","₹
45.0 Lac","₹
4307 per
sqft","
Description:


More sunlight 3 side ventilation no noise disturbance complete privacy. 



",Ongoing,"
Ready To Move
","
2 BHK
Apartment

",136 Units ,3 Towers ,"(2 BHK Flat->1045 sqft), (3 BHK Flat->1225 sqft) ",,"lat=12.817233,longt=77.79295"
"
DNR Casablanca
",DNR Corporation Pvt. Ltd.,"
in Mahadevapura
, Bangalore

 
","1412
sqft","₹
95.9 Lac","₹
6,788 per
sqft","
Description:


It is our pleasure to introduce you our new upcoming residential Project DNR Casablanca Located on Mahadevpura Main Road, Off Outer Ring Road, Adjacent to HP Campus. DNR Casablanca is having 2, 2.5 and 3 BHKs  



",Under Construction,"
Possession in 2020
","
3 BHK
Apartment

",200 Units ,2 Towers ,"(2 BHK Flat->1274 sqft), (3 BHK Flat->1412 sqft), (3 BHK Flat->1842 sqft) ",,"lat=12.99425,longt=77.68977"
"
BSR Paradise
",Winning Edge Group,"
in Marathahalli
, Bangalore

 
","1117
sqft","₹
62.0 Lac","₹
5,551 per
sqft","
Description:


It is a 2 BHK apartment in BSR Paradise, Marathahalli. It offers 1117 Sq-ft of covered area. It is situated on 4th floor out of 5 floors in all and is good space to live in. The Unit features 2 bathroom and also has 1  



",Ready To Move,"
Possession in 2018
","
2 BHK
Apartment

",,,"(1 BHK Flat->655 sqft), (1 BHK Flat->657 sqft), (2 BHK Flat->853 sqft), (2 BHK Flat->870 sqft), (2 BHK Flat->991 sqft), (2 BHK Flat->1057 sqft), (2 BHK Flat->1087 sqft), (2 BHK Flat->1100 sqft), (2 BHK Flat->1115 sqft), (2 BHK Flat->1117 sqft), (2 BHK Flat->1200 sqft), (2 BHK Flat->1253 sqft), (3 BHK Flat->1240 sqft), (3 BHK Flat->1250 sqft), (3 BHK Flat->1305 sqft), (3 BHK Flat->1343 sqft), (3 BHK Flat->1366 sqft), (3 BHK Flat->1467 sqft), (3 BHK Flat->1539 sqft), (3 BHK Flat->1553 sqft), (3 BHK Flat->1581 sqft), (3 BHK Flat->1649 sqft), (3 BHK Flat->1673 sqft), (3 BHK Flat->1786 sqft), (3 BHK Flat->1813 sqft) ",,"lat=12.95788,longt=77.704865"
