name,id,,name,id
Cambridge Layout,142,,,
Carmelaram,44588,,,
Chadalapura,45405,,,
Chamarajpet,28591,,,
Chamundi Nagar,44690,,,
Chandapura,156,,,
Chandapura Anekal Road,30665,,,
Chandapura-Sarjapura Road,45872,,,
Chandra Layout,157,,,
Chansandra,26914,,Chikballapur,50347
Chelekare,45018,,Chikkagubbi on Hennur Main Road,52695
Chickpet,160,,Chikkanayakanahalli at Off Sarjapur,97946
Chikbanavara,35797,,Chikkasandra,78126
Chikka Banaswadi,45012,,Dasarahalli on Tumkur Road,56697
Chikka Tirupathi,36553,,Doddanekundi,51449
Chikka Tirupathi Road,45392,,Electronic City Phase 1,50186
Chikkaballapur,4629,,Electronic City Phase 2,68601
Chikkaballapur-Gauribidanur Road,43117,,H Cross,51949
Chikkabasavanapura,44640,,Hosur,50187
Chikkabellandur,44591,,ITPL,51656
Chikkabidarakallu,43943,,Jagadenahalli,52091
Chikkagubbi Village,45643,,Jalahalli,50177
Chikkajala,37073,,Jeevan Bima Nagar,52306
Chikkakannalli,44677,,Junnasandra,66667
Chikkalasandra,44324,,Kanakapura Road Beyond Nice Ring Road,52236
Chikkanagamangala,45883,,Kannahalli,91085
Chikkanahalli,26725,,Kannur on Thanisandra Main Road,52697
Chikkasagarahalli,45878,,Kasavanahalli Off Sarjapur Road,91282
Chikkathoguru,45384,,Kodihalli on Old Airport Road,52718
Chinnapa Garden,45041,,Kolar,52321
Chinnapanna Halli,44857,,KR Puram,50167
Chintamani,37955,,Kurubarahalli on Magadi Road,52713
Chokkanahalli,45267,,Kuvempu Layout on Hennur Main Road,52694
Cholanayakanahalli,44687,,Lingarajpuram,51092
Choodasandra,36581,,Magadi,51173
Commercial Street,184,,Malleswaram,50181
Cooke Town,187,,Malur,51459
Cottonpete,44288,,Marsur,50309
Cox Town,190,,Murugesh Palya,51161
CQAL Layout,44984,,Nagawara,50372
Craig Park Layout,45039,,Narayanaghatta,52346
Cunningham Road,11,,Narayanapura on Hennur Main Road,51087
CV Raman Nagar,28401,,Nayandahalli,62803
Dabaspete,37065,,Near Peenya Industrial Area,52710
Dasarahalli Hebbal,196,,Nelamangala Town,50373
Dasarahalli Main Road,33209,,Rajarajeshwari Nagar,50271
Dayananda Nagar,26949,,Sahakar Nagar,51077
Defence Colony - Bagalagunte,22,,Sai Baba Ashram,53344
Devanahalli,27509,,Sarjapur Road Post Railway Crossing,52297
Devanahalli Road,26948,,Sarjapur Road Till Wipro,52296
Devarachikkanahalli,36000,,Sarjapur Road Wipro To Railway Crossing,52298
Devasthanagalu,44622,,Vibhutipura,51636
Devinagar,44454,,Vijay Nagar,50339
Dodda Aalada Mara Road,36623,,Volagerekallahalli,52362
Dodda Banasvadi,26958,,Whitefield Hope Farm Junction,50161
Doddaballapur,26960,,Yeshwantpur,50183
Doddaballapur Road,223,,,
Doddabele,44954,,,
Doddabommasandra,36293,,,
Doddagubbi,45921,,,
Doddakallasandra,44932,,,
Doddakammanahalli,44580,,,
Doddakannalli,44587,,,
Doddathoguru,44608,,,
