project_name,project_by,location,status,project_desciption,possesion_date,area,unit_type,Super_builduparea,Builder_price,Apartment,total_unit,rera_id
Corporate Arcadia,Corporate Leisure,Carmelaram,Under Construction,"Arcadia is enchantingly designed around peace, amidst the pristine and serene ambience of chikkabellandur, 5 minutes drive from the Wipro corporate office and 10mins drive from Cisco Campus on Outer Ring Road. Arcadia is spread over 5 acres of land with 75% of the available space retained for beautifully designed landscaped areas and amenities. The entire project comprises of 2 Blocks - Block-1 & Block 2, having 3 and 5 wings respectively. A total of 360 flats are aesthetically designed among these Wings.”",Possession date: Apr'19,1404 sq ft(3BHK+2T),3 BHK,"835 - 1,404 sq ft",₹ 35.07 L - ₹ 58.97 L,"1, 2, 3 BHK",360,
Ahad Excellencia,Ahad Builders,Avalahalli Off Sarjapur Road,Under Construction,,Possession date: Aug'20,1444 sq ft(3BHK+3T),3 BHK,"475 - 1,444 sq ft",₹ 26.17 L - ₹ 75.20 L,"1, 2, 3 BHK",505,
DS Silver Wood,DS Max Properties,Bommasandra,Under Construction,"DS Max Silver Wood is an under construction housing project in Bommasandra, Bangalore. It has apartments of 2 and 3 BHK configuration available through the developer.Spread over 1.15 acre, the community has various facilities on offer alongside the apartments. Some of the conveniences are swimming pool, gymnasium, jogging track, childrens play zone and intercom connectivity. DS Max Properties is one of Bangalores leading property developers which have worked on ninety six properties so far. Forty four projects of theirs are under construction. Electronics City is an IT hub of Bangalore which is towards the south of the city.",Possession date: Sep'18,1745 sq ft(3BHK+2T),3 BHK,"965 - 1,745 sq ft",₹ 24.13 L - ₹ 43.63 L,"2, 3 BHK",116,
Aratt Cityscape Apartment,Aratt,Budigere Cross,Under Construction,"Cityscape Apartment is a premium housing project launched by Aratt in Budigere Cross, Bangalore. These 2, 3 BHK Apartment in Old Madras Road are available from 1307 sqft to 1508 sqft. Among the many luxurious amenities that the project hosts are Landscaped Gardens, Lift Available, Vaastu Compliant, Football Court, Tennis Court, Swimming Pool etc. Starting at @Rs 3,600 per sqft, Apartment are available at attractive price points. The Apartment will be available for sale from Rs 47.05 lacs to Rs 54.29 lacs.",Possession date: Dec'18,1536 sq ft(3BHK+3T),3 BHK,"1,307 - 1,536 sq ft",₹ 44.44 L - ₹ 52.22 L,"2, 3 BHK",152,
Bren Starlight,Bren,Budigere Cross,Under Construction,"Bren Starlight Bangalore offers premium 1 BHK, 2 BHK and 3 BHK apartments to buyers.Key amenities on offer at this project include car parking facilities, rainwater harvesting systems, gymnasium, intercom facilities, swimming pool, club house, indoor game facilities, playing zone for children, power backup facilities, 24 hour security services, maintenance services, climbing wall, basketball court, library, community hall, security cabin, tennis court and health facilities.Added amenities include broadband internet connectivity, visitors’ parking, cricket pitch, water features, badminton court, pavilion with barbeque and a skating rink. Located at Budigere Cross, Bangalore.
",Possession date: Sep'19,1530 sq ft(3BHK+3T),3 BHK,"915 - 1,530 sq ft",₹ 43.92 L - ₹ 73.44 L,"1, 2, 3 BHK",194,RERA ID: PR/KN/170729/000368
Ksr Basil Apartments,Ksr Properties,Budigere Cross,Under Construction,"Basil Apartments is a premium project offering spacious 1, 2 and 3BHK apartments located in Budigere Cross, Bangalore. A total of 344 apartments are available for sale which measure in between 607 to 1667 sq ft. The total area covered by the community is 5.5 acres and comprises of several amenities apart from residential towers. Some of the amenities include Swimming pool, Children's play area, Jogging Track, Party Hall, Indoor Games and Doctors Clinic. Established 16 years ago, KSR Group is one of the highly respected realtors in Bangalore. They have worked on 6 projects so far. Out of which, 3 are under construction. Apart from Basil Apartments, their projects are based in Madhurawada, Budigere Cross, Thanisandra and Hebbal. Budigere Cross is one of the most comfortable areas in Bangalore. It is surrounded by developed areas such as Chikballapur, Jalahalli, Vasanth Nagar, Brookefield and Bommasandra.",Possession date: Dec'18,1667 sq ft(3BHK+3T),3 BHK,"607 - 1,667 sq ft",₹ 21.85 L - ₹ 60.01 L,"1, 2, 3 BHK",260,
Salarpuria East Crest,Salarpuria Sattva Group,Budigere Cross,Under Construction,"East Crest is a residential project by Salarpuria Sattva Group located in the Budigere Cross locality of Bangalore. Spread over an area of 6.6 acres, the project offers 1, 2 and 3 BHK apartments with their carpet area ranging from 598 sq ft to 1,673 sq ft. Ceramic tiles dado on kitchen walls, modular switches and Vitrified Tiles flooring in the master bedroom are some of the key highlights of the project. It is currently in an under construction stage. The possession of the project is scheduled in March 2019.The project hosts plenty of amenities which include but not limited to a swimming pool, children's play area, club house, power backup provision, round-the-clock security provision, cricket pitch, indoor games facility and intercom facility.Budigere Cross is located towards the east side of Bangalore. The area is surrounded by other developed localities such as Hostoke, Horamavu, Chikkagubbi, Kuvempu and ITPL. The Whitefield and Marathahalli are respectively 7 and 11 kilometers from here. The vicinity also comprises of various schools, colleges, hotels, parks, banks and shopping centers.",Possession date: Mar'19,1673 sq ft(3BHK+3T),3 BHK,"598 - 1,673 sq ft",₹ 57.73 L - ₹ 81.44 L,"1, 2, 3 BHK",667,RERA ID: PR/KN/170730/000406
Shriram Green Field,Shriram Properties,Budigere Cross,Under Construction,"Green Field project is registered in RERA with following RERA IDs 1.PR/KN/170810/001220 SHRIRAM GREEN FIELD PHASE 2 & PR/KN/170808/001213 SHRIRAM GREEN FIELD PHASE 1. Greenfield is a residential project spread over an area of 20 acres. Located in the Budigere Cross locality of Bangalore, it is a project by Shriram Properties. It offers 2 and 3 BHK apartments with their carpet area ranging from 928 sq ft to 1,350 sq ft. Laminated wooden flooring in the master bedroom, texture paint on the outside of the apartment, sal wood frame for the internal door are some of the specifications of the apartment. Currently, the project is in an under construction stage. Its possession is due in March 2019.When it comes to amenities, Greenfield offers a clubhouse, gymnasium, swimming pool, play area for children, library, spa, Wi-Fi connectivity, party hall and much more.The Budigere Cross locality is situated toward the east of Bangalore. Hoskote, Horamavu, Chikkagubbi, Anagalapura, Ramamurthy Nagar, Kuvempu, are some of the developed areas that surround this locality. The airport is 35 kilometres from here, and the Old Madras road connects it to the nearest railway station. Several schools, hospitals and shopping zones are located in and around the area.",Possession date: Mar'19,1350 sq ft(3BHK+3T),3 BHK,"928 - 1,350 sq ft",₹ 36.37 L - ₹ 54.40 L,"2, 3 BHK",932,RERA ID: PR/KN/170810/001220
Ardente Pine Grove,Ardente,Avalahalli Off Sarjapur Road,Under Construction,"Pinegrove by Ardente, located in Avanahalli, Bangalore, offers 3BHK apartments. This real estate project hosts various amenities such as gymnasium, swimming pool, childrens play area, club house, intercom, jogging track, power backup, landscaped gardens, indoor games, multipurpose hall, and car parking tennis court, fitness court and so on.Located in the western part of Bangalore, Avanahalli is surrounded by Ganapathi Nagar, New BDA Layout, Srinagar, Telecom Colony, etc. It has emerged as one of the most preferred destinations for residential purposes due to its proximity to all amenities and the tranquil atmosphere. The Mysore Road, Outer Ring Road, and the NICE Bangalore Mysore Expressway are all located near this area which ensures smooth connectivity.",Possession date: Dec'19,2025 sq ft(3BHK+3T),3 BHK,"1,639 - 2,025 sq ft",₹ 70.48 L - ₹ 87.08 L,3 BHK,119,
S AND S Builders Trillium Apartments,S AND S Builders,Avalahalli Off Sarjapur Road,Under Construction,"S and S Builders & Developers Apartments Bangalore comes with premium 2 BHK and 3 BHK apartments. Key amenities on offer at this project include a well equipped gymnasium, club house, swimming pool, intercom facilities, playing zone for kids, multipurpose room and 24 hour security services.Added amenities include a jogging track, walkway and car parking facilities. Located at Avalahalli, the project is well connected to areas like the New BDA Layout, Girinagar, Ganapathi Nagar and Srinagar. The Outer Ring Road, Mysore Road and NICE Mysore-Bangalore Expressway connect the project to several destinations in the city with aplomb.",Possession date: Dec'18,1500 sq ft(3BHK+2T),3 BHK,"955 - 1,500 sq ft",₹ 31.04 L - ₹ 48.75 L,"2, 3 BHK",137,
