status,possession,name,price_per_sqft,unit_type,about_project,Project_specifications,link,pro_detail,about_builder,project_price,proj_plan,price_range,data,project_overview
Ready To Move,,Viva Silk City,,Residential  Land,"
                    Viva Silk City is one of the popular residential projects in Yelahanka, Bangalore. Developed by Viva Property Solution, this project offers plots with basic amenities for the comfort of residents. It is close to market and many educational institutions.,  ,
,
     
                    ,
            ,Configurations:,
            ,Land            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/viva-silk-city-yelahanka-bangalore-north-npxid-r207741?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Under Construction,Possession : Dec 2018,Maruti Residency,,1 BHK Apartment,"
                    Maruti Residency is one of the popular residential projects that is located on Doddaballapur Road, Bangalore. Developed by Maruti Homes Builders, this project offers 1BHK apartments along with 1BHK builder floors with modern amenities for the comfort of residents. Adding to this, it is situated close to the market, hospital and many educational institutions.,  ,
,
     
                    ,
            ,Configurations:,
            ,Apartment, Floor | 1 BHK            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/maruti-residency-doddaballapur-bangalore-north-npxid-r164663?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,Valu Port,,Residential  Land,"
                    Valu Port is a popular residential development in Doddaballapur, Bangalore. This project offers thoughtfully constructed plots with modern amenities for the comfort of residents. It is close to market, hospital and many educational institutions.,  ,
,
     
                    ,
            ,Configurations:,
            ,Land            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/valu-port-doddaballapur-bangalore-north-npxid-r119603?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
New Launch,,Ajmal Enclave,,"2,3 BHK Independent House/Villa","
                    Ajmal Enclave is one of the residential developments of Ajmal, located in Doddaballapur, Bangalore North. It offers spacious and skilfully designed 2BHK and 3BHK apartments. The project is well equipped with all the basic amenities to facilitate the needs of the residents.,
,
FEATURES,
Surrounded by existing green buffer,
A brilliant water feature,
Entrance with a cobbled pathway,  ,
,
     
                ,
            ,Project Details:,
            ,32 Units 2 Floors,
        ,  
                ,
            ,Configurations:,
            ,Villa | 2, 3 BHK            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/ajmal-enclave-doddaballapur-bangalore-north-npxid-r64722?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ","{u'No. of Units:': u'32 Units', u'No. of Floors:': u'2 Floors'}"
Ready To Move,Completed : Feb 2018,BSCPL Bollineni Serene,,"3,4 BHK Apartment","
                    BSCPL Bollineni Serene is one of the popular residential projects that is located in Yelahanka, Bangalore. Developed by BSCPL Infrastructure, this project offers thoughtfully constructed 3BHK and 4BHK apartments with modern amenities for the comfort of residents. Adding to this, it is situated close to the market, hospital and various educational institutions.,  ,
,
     
                    ,
            ,Configurations:,
            ,Apartment | 3, 4 BHK            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/bscpl-bollineni-serene-yelahanka-bangalore-north-npxid-r122289?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,Completed : Dec 2017,Legacy Evania,,"3,4 BHK Apartment","
                    3 BHK and 4 BHK residences are offered at Legacy Evania in Yelahanka, Bangalore. This project is to be developed by Legacy Global Projects. Amenities including swimming pool, gymnasium, intercom, play area, 24-hour backup, basket ball and tennis court are offered here. Adding to this, the project will be having broadband connectivity as well.,  ,
,
     
                    ,
            ,Configurations:,
            ,Apartment | 3, 4 BHK            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/legacy-evania-yelahanka-bangalore-north-npxid-r61559?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,"Legacy Group is a leading construction and real estate development company. It was incorporated with an endeavor to create unparalleled quality with luxurious living space by enhancing new concepts and innovative ideas. Their primary aim is to offer as per the changing lifestyles and trends without compromising in international quality standards. They emphasize on attention to the smallest detail, careful planning, proper space utilization, and innovation while designing and executing every their project. The Company focuses to establish,Legacy Group is a leading construction and real estate development company. It was incorporated with an endeavor to create unparalleled quality with luxurious living space by enhancing new concepts and innovative ideas. Their primary aim is to offer as per the changing lifestyles and trends without compromising in international quality standards. They emphasize on attention to the smallest detail, careful planning, proper space utilization, and innovation while designing and executing every their project. The Company focuses to establish long-term relationship with their customers, investors and business associates. They have been committed to customer satisfaction through delivering world-class quality construction that best suits their needs and desires. They are adhering to the values of ethical business practices, honesty, workmanship, commitment and trust. Today, Legacy Group has marked its presence in the real estate industry for space, comfort, luxury, timely execution, and international standards of quality.",{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,Completed : Dec 2017,BSCPL Bollineni Nestor,,"2,3 BHK Apartment","
                    BSCPL Bollineni Nestor is a residential development. This is an ongoing project of BSCPL Infrastructure. It has a thoughtful design and is being developed with all the modern day amenities as well as basic facilities. The project offers 2BHK and 3BHK apartments.,
,
Approvals: BIAAPA,
,
Proximities,
Kempegowda international airport: 30 mins drive,
Doddaballapur: 7 kms,
Yelahanka railway station: 17 kms,
Bengaluru city railway station: 32 kms,
Manyatha Tech Park: 25 kms,
Columbia Asia hospital (Clinic): 1 kms,
Janatha nursing home: 2 kms,  ,
,
            ,
            ,Total Project Area:,
            ,2.00 Acres (80%),
        ,  
     
                ,
            ,Project Details:,
            ,1 Towers140 Units 8 Floors,
        ,  
                ,
            ,Configurations:,
            ,Apartment | 2, 3 BHK            ,
        ,
            ,
, ,
     
                ","
                    ,
                    STRUCTURE,
Foundation and super structure: RCC framed structural system, seismic zone II compliant,
Internal walls and external walls: Solid concrete blocks,
Roof slab: Reinforced cement concrete slab,
Plastering,
Internal: Smoothly plastered,
External: With sponge finish,
,
FLOORING FINISHES,
Living, dining, foyer, passage: Vitrified tiles ,
Toilets: Ceramic tiles,
Balconies / utility: Ceramic tiles,
Entrance lobbies and staircases: Kota / vitrified flooring,
,
DADOING,
Toilets: Ceramic tiles,
Kitchen and utility: Ceramic tiles ,
,
JOINERY DOORS,
Entrance door/ main door: Engineered wood frame with one side teak veneered flush shutters,
Internal doors: Engineered wood frame with enamel paint flush shutters,
Balcony: UPVC / aluminum sliding doors with plain glass,
Toilet doors: Engineered wood frame with enamel paint flush shutters,
,
WINDOWS AND VENTILATORS,
All windows and ventilators: UPVC / aluminum sliding windows with plain glass and mosquito mesh,
,
RAILINGS,
Balcony: MS railing with matt finish enamel paint,
Staircase: MS railing with matt finish enamel paint,
,
PAINTING,
Interior walls and ceilings: Putty and oil bound distemper paint,
Exterior walls: Weather proof paint finish,
Kitchen / utility: Plastic emulsion paint,
,
KITCHEN,
2' wide granite counter with bull nosing,
SS sink with single bowl supported with angles,
,
ELECTRICAL WORKS,
A / C power points provision in master bed room,
Modular switches and socket (Anchor Roma or equivalent),
One telephone and TV point each in living room and master bedroom,
Provision for water purifier, microwave and refrigerator,
Fire resistant electrical wires of Anchor / Polycab / KRI or equivalent,
Earth leakage circuit breaker (ELCB),
,
SANITARY AND BATHROOM FIXTURES,
Imported white colored floor mounted sanitary ware in all toilets,
Wall hung wash basin in all toilets,
ESSCO or equivalent brand CP fixtures in toilets for faucets,
,
ELEVATORS,
Suitable capacity automatic passenger elevators    
                    ,
                ",https://www.99acres.com/bscpl-bollineni-nestor-doddaballapur-bangalore-north-npxid-r81406?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ","{u'Open Area:': u'80%', u'No. of Towers:': u'1 Towers', u'No. of Units:': u'140 Units', u'Total Project Area:': u'2.00 Acres', u'No. of Floors:': u'8 Floors'}"
Ready To Move,,Vaibhava Aero Spring Garden,,Residential  Land,"
                    Vaibhava Aero Spring Garden, developed by Vaibhava Developers, is a popular residential development in Yelahanka, Bangalore. This project offers plots with modern amenities for the comfort of residents. It is close to many educational institutions and hospitals.,  ,
,
     
                    ,
            ,Configurations:,
            ,Land            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/vaibhava-aero-spring-garden-yelahanka-bangalore-north-npxid-r124535?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,Charigan JC Royal Celestia,,Residential  Land,"
                    Charigan JC Royal Celestia is one of the popular residential projects in Doddaballapur, Bangalore. Developed by Charigan Group, this project offers plots with basic amenities for the comfort of residents. It is close to market, hospital and many educational institutions.,  ,
,
     
                    ,
            ,Configurations:,
            ,Land            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/charigan-jc-royal-celestia-doddaballapur-bangalore-north-npxid-r122123?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,Completed : Oct 2017,Adish Blue Sky Gardenia,,2 BHK Independent/Builder Floor,"
                    Adish Blue Sky Gardenia is a residential development by Adish Builders. It has a thoughtful design and is well equipped with all the modern day amenities as well as basic facilities. The project offers spacious and skillfully designed 2BHK flats.,
	,
Project Details,
Number of Units: 40 Units,
Number of Blocks: 1,
Total area: 1 Acre,
,
Proximities,
4.8 km from Doddabettahalli bus stop,
3.6 km from Seshadripuram Public School,
3.7 km from Food World mall,
3.2 km from Neha Prakash Hospital,
3.8 km from Axis Bank ATM,
4.5 km from Yelahanka Railway Junction,  ,
,
            ,
            ,Total Project Area:,
            ,1.00 Acres,
        ,  
     
                ,
            ,Project Details:,
            ,1 Towers40 Units ,
        ,  
                ,
            ,Configurations:,
            ,Floor | 2 BHK            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/adish-blue-sky-gardenia-yelahanka-bangalore-north-npxid-r154267?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price on Request,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ","{u'No. of Towers:': u'1 Towers', u'No. of Units:': u'40 Units', u'Total Project Area:': u'1.00 Acres'}"
