project_name,address,Project status,table_data,Unit_Types,rera_no,link,project_by,about_project,possesion,amenities_list,about_builder,Build_Up_Area,project_specification,Price,location,launched
Bhavya Dr K.L.Rao Residency,,Ready-to-move,"[{u'Floor Plans': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t', u'Carpet Area': u'NA', u'Live-in Tour': u'\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t', u'Price': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\t\t\t\t\t\t\t', u'Super Built-Up Area': u'1100 sq.ft', u'Unit Types': u'\n\t\t\t\t\t\t\t\t2 BHK Apartment\n\t\t\t\t\t\t\t\tAvailability*: Sold out\n\t\t\t\t\t\t\t'}, {u'Floor Plans': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t', u'Carpet Area': u'NA', u'Live-in Tour': u'\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t', u'Price': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\t\t\t\t\t\t\t', u'Super Built-Up Area': u'NA', u'Unit Types': u'\n\t\t\t\t\t\t\t\t3 BHK Apartment\n\t\t\t\t\t\t\t\tAvailability*: Sold out\n\t\t\t\t\t\t\t'}]","
								3 BHK Apartment
								Availability*: Sold out
							",,https://www.commonfloor.com/bhavya-dr-klrao-residency-hyderabad/povp-0f1qj5,By Bhavya Constructions Pvt Ltd in Adikmet,,,"{u'Convenience': u'Lift                            \n                                \n                                24Hr Backup Electricity', u'Safety & Security': u'Security'}",,NA,,"
														NA							",Adikmet,
Rochishmati Noveo Homes,,Ongoing,"[{u'Floor Plans': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t', u'Carpet Area': u'NA', u'Live-in Tour': u'\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t', u'Price': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t29.69L  - 41.73L \t\t\t\t\t\t\t', u'Super Built-Up Area': u'900 - 1265 sq.ft', u'Unit Types': u'\n\t\t\t\t\t\t\t\t2 BHK Apartment\n\t\t\t\t\t\t\t\tAvailability*: Yes\n\t\t\t\t\t\t\t'}, {u'Floor Plans': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t', u'Carpet Area': u'NA', u'Live-in Tour': u'\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t', u'Price': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t52.12L  - 64.82L \t\t\t\t\t\t\t', u'Super Built-Up Area': u'1580 - 1965 sq.ft', u'Unit Types': u'\n\t\t\t\t\t\t\t\t3 BHK Apartment\n\t\t\t\t\t\t\t\tAvailability*: Yes\n\t\t\t\t\t\t\t'}]","
								3 BHK Apartment
								Availability*: Yes
							",,https://www.commonfloor.com/rochishmati-noveo-homes-hyderabad/povp-xp72kx,By Rochishmati Infra Projects Pvt Ltd in Adibatla,,Possession: Dec-2019,"{u'Eateries': u'Cafeteria', u'Recreation': u'Community Hall                            \n                                \n                                Club House                            \n                                \n                                Party Area                            \n                                \n                                Senior Citizen Park                            \n                                \n                                Banquet Hall', u'Infrastructure': u'Vaastu / Feng Shui', u'Safety & Security': u'Gated community                            \n                                \n                                Security', u'Indoor Games': u'Indoor Games', u'Network & Connectivity': u'Wifi', u'Health Facilities': u'Health Facilities                            \n                                \n                                Jacuzzi Steam Sauna                            \n                                \n                                Spa', u'Entertainment': u'Amphitheater and Open Lawns', u'Water Supply': u'24Hr Water Supply', u'Outdoor Games': u'Play Area                            \n                                \n                                Tennis Court                            \n                                \n                                Badminton Court                            \n                                \n                                Cricket Court                            \n                                \n                                Basket Ball Court', u'Convenience': u'Lift                            \n                                \n                                24Hr Backup Electricity                            \n                                \n                                ATM', u'Fitness': u'Swimming Pool                            \n                                \n                                Gymnasium                            \n                                \n                                Jogging Track                            \n                                \n                                Meditation Hall                            \n                                \n                                Yoga, Aerobics and Meditation Room', u'Green Living': u'Rain Water Harvesting', u'Retail': u'Super Market                            \n                                \n                                Departmental Store', u'Landscape': u'Landscaped Garden', u'Waste Management': u'Drainage and Sewage Treatment'}",,1580 - 1965 sq.ft,"
                                          GeneralFOUNDATION & STRUCTURE

R.C.C framed structural design conforming to IS standard earth quake resistant structures.

SUPER STRCTURE

Solid/cement blocks/Red Bricks: External Walls 8/9 and internal walls 4

PLASTERING

R.C.C framed structural design conforming to IS standard earth quake resistant structures.

WALL FINISH

Internal: Treated with luppam and painted with emulsion paints of Asian or equivalent make.

External: Painted with weather- proof paints of Asian or equivalent make as per architectural design.

JOINERY WORKS

Main Door: M.T. wood frame & aesthetically designed Teak veneered shutter and finished with Melamine polish fitted with reputed make hardware. Internal doors: M.T. wood frame, designed skin doors of reputed make French door – UPVC sliding

WINDOWS

UPVC windows of reputed make with dear glass and safety grill in MS

FLOORING

Living, Drawing, Dining: 600*600mm vitrified tiles of reputed make. Bedrooms and Kitchens: 6000*600mm vitrified tiles of reputed make. Sit outs/Balcony: Anti-skid ceramic matt finished tiles. Staircase: Polished natural stone with SS railing Corridor: Matt finish vitrified tiles/granite tiles

KITCHEN

Granite Kitchen platform with stainless steel sink, ceramic tiles wall cladding up to height of 2 Above the kitchen platform. Electrical paints for fridge, washing machine

TOILETS

Tiles dodo: Glazed ceramic tile dodo up 7 height of reputed make Sanitary ware: Western style commands with health faucet. Wash basin in all toilets of Hind ware / cera or equivalent make CP Fitting: Wall mixture with overhead shower and other tops of Hind ware/ Cera or equivalent make. Provision for geyser and exhaust fan fitting in all bath rooms.

UTILITY & WASH AREA

Glazed ceramic tiles up to 3 height. Flooring with anti-skid acid resistant tiles. Provision for washing machine.

ELECTRICAL

3-PhasePower supply with MCB’s of reputed make. Concealed copper wiring (in conduits) of Standard make. Modular switches of Anchor/Northwest/Crabtree or equivalent make. Power outlets for air conditioners in living & master bed room with conduits. Power points for geysers and exhaust fans in all bath rooms

TELECOM & INTERNET

T.V. points in living & master bedroom, Telephone point in living room & provision for internet Wi-Fi connection in earth flat

SECURITY

24*7 Security and CC cameras

WATER SUPPLY

Underground storage sumps with pumping system and overhead tanks BACKUP GENERATOR Generator power backup for common usage and 2 fans. 2 lights for 3 BHk and 1 fan, 2 lights for 2 BHK

LIFTS

Each tower has 2 Nos lifts Johnson/Kone or equivalent make. I clubhouse 1 No lift. Total 11 Nas lifts of Johnson/Kane or equivalent make in the project.


 
                ","
														 
														52.12L  - 64.82L 							",Adibatla,
Adarsh Vihar Apartments,,Ready-to-move,"[{u'Floor Plans': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t', u'Carpet Area': u'NA', u'Live-in Tour': u'\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t', u'Price': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\t\t\t\t\t\t\t', u'Super Built-Up Area': u' sq.ft', u'Unit Types': u'\n\t\t\t\t\t\t\t\t1 BHK Apartment\n\t\t\t\t\t\t\t\tAvailability*: Yes\n\t\t\t\t\t\t\t'}, {u'Floor Plans': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t', u'Carpet Area': u'NA', u'Live-in Tour': u'\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t', u'Price': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\t\t\t\t\t\t\t', u'Super Built-Up Area': u' sq.ft', u'Unit Types': u'\n\t\t\t\t\t\t\t\t2 BHK Apartment\n\t\t\t\t\t\t\t\tAvailability*: Yes\n\t\t\t\t\t\t\t'}, {u'Floor Plans': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t', u'Carpet Area': u'NA', u'Live-in Tour': u'\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t', u'Price': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\t\t\t\t\t\t\t', u'Super Built-Up Area': u' sq.ft', u'Unit Types': u'\n\t\t\t\t\t\t\t\t3 BHK Apartment\n\t\t\t\t\t\t\t\tAvailability*: Yes\n\t\t\t\t\t\t\t'}]","
								3 BHK Apartment
								Availability*: Yes
							",,https://www.commonfloor.com/adarsh-vihar-apartments-hyderabad/povp-pjb1c3,By  in Adarsh Nagar,,,{},, sq.ft,,"
														NA							",Adarsh Nagar,
Rafath Heights,,Ready-to-move,"[{u'Floor Plans': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t', u'Carpet Area': u'NA', u'Live-in Tour': u'\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t', u'Price': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\t\t\t\t\t\t\t', u'Super Built-Up Area': u'NA', u'Unit Types': u'\n\t\t\t\t\t\t\t\t2 BHK Apartment\n\t\t\t\t\t\t\t\tAvailability*: Sold out\n\t\t\t\t\t\t\t'}, {u'Floor Plans': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t', u'Carpet Area': u'NA', u'Live-in Tour': u'\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t', u'Price': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\t\t\t\t\t\t\t', u'Super Built-Up Area': u'NA', u'Unit Types': u'\n\t\t\t\t\t\t\t\t3 BHK Apartment\n\t\t\t\t\t\t\t\tAvailability*: Sold out\n\t\t\t\t\t\t\t'}]","
								3 BHK Apartment
								Availability*: Sold out
							",,https://www.commonfloor.com/rafath-heights-hyderabad/povp-ydu0ab,By  in Lakdi Ka Pul,,,{},,NA,,"
														NA							",Lakdi Ka Pul,
Tulip Apartments,,Ready-to-move,"[{u'Floor Plans': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t', u'Carpet Area': u'NA', u'Live-in Tour': u'\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t', u'Price': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\t\t\t\t\t\t\t', u'Super Built-Up Area': u'NA', u'Unit Types': u'\n\t\t\t\t\t\t\t\t2 BHK Apartment\n\t\t\t\t\t\t\t\tAvailability*: Sold out\n\t\t\t\t\t\t\t'}, {u'Floor Plans': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t', u'Carpet Area': u'NA', u'Live-in Tour': u'\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t', u'Price': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\t\t\t\t\t\t\t', u'Super Built-Up Area': u'NA', u'Unit Types': u'\n\t\t\t\t\t\t\t\t3 BHK Apartment\n\t\t\t\t\t\t\t\tAvailability*: Sold out\n\t\t\t\t\t\t\t'}]","
								3 BHK Apartment
								Availability*: Sold out
							",,https://www.commonfloor.com/tulip-apartments-hyderabad/povp-6ay36c,By  in Lakdi Ka Pul,,,{},,NA,,"
														NA							",Lakdi Ka Pul,
Jyothi Residency Lakdi Ka Pul,,Ready-to-move,"[{u'Floor Plans': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t', u'Carpet Area': u'NA', u'Live-in Tour': u'\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t', u'Price': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\t\t\t\t\t\t\t', u'Super Built-Up Area': u'NA', u'Unit Types': u'\n\t\t\t\t\t\t\t\t2 BHK Apartment\n\t\t\t\t\t\t\t\tAvailability*: Sold out\n\t\t\t\t\t\t\t'}, {u'Floor Plans': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t', u'Carpet Area': u'NA', u'Live-in Tour': u'\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t', u'Price': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\t\t\t\t\t\t\t', u'Super Built-Up Area': u'NA', u'Unit Types': u'\n\t\t\t\t\t\t\t\t3 BHK Apartment\n\t\t\t\t\t\t\t\tAvailability*: Sold out\n\t\t\t\t\t\t\t'}]","
								3 BHK Apartment
								Availability*: Sold out
							",,https://www.commonfloor.com/jyothi-residency-lakdi-ka-pul-hyderabad/povp-uzkxko,By  in Lakdi Ka Pul,,,{},,NA,,"
														NA							",Lakdi Ka Pul,
Bait Us Salaam,,Ready-to-move,"[{u'Floor Plans': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t', u'Carpet Area': u'NA', u'Live-in Tour': u'\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t', u'Price': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\t\t\t\t\t\t\t', u'Super Built-Up Area': u'NA', u'Unit Types': u'\n\t\t\t\t\t\t\t\t2 BHK Apartment\n\t\t\t\t\t\t\t\tAvailability*: Sold out\n\t\t\t\t\t\t\t'}, {u'Floor Plans': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t', u'Carpet Area': u'NA', u'Live-in Tour': u'\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t', u'Price': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\t\t\t\t\t\t\t', u'Super Built-Up Area': u'NA', u'Unit Types': u'\n\t\t\t\t\t\t\t\t3 BHK Apartment\n\t\t\t\t\t\t\t\tAvailability*: Sold out\n\t\t\t\t\t\t\t'}]","
								3 BHK Apartment
								Availability*: Sold out
							",,https://www.commonfloor.com/bait-us-salaam-hyderabad/povp-s7ij57,By  in Lakdi Ka Pul,,,{},,NA,,"
														NA							",Lakdi Ka Pul,
Legend D D Colony I,,Ready-to-move,"[{u'Floor Plans': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t', u'Carpet Area': u'NA', u'Live-in Tour': u'\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t', u'Price': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\t\t\t\t\t\t\t', u'Super Built-Up Area': u'NA', u'Unit Types': u'\n\t\t\t\t\t\t\t\t Apartment\n\t\t\t\t\t\t\t\tAvailability*: Sold out\n\t\t\t\t\t\t\t'}]","
								 Apartment
								Availability*: Sold out
							",,https://www.commonfloor.com/legend-d-d-colony-i-hyderabad/povp-zrb3ty,By Legend Estates Pvt. Ltd. in Amberpet,,,{},,NA,,"
														NA							",Amberpet,
Maheshwari Shree Indira Sadan,,Ready-to-move,"[{u'Floor Plans': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t', u'Carpet Area': u'NA', u'Live-in Tour': u'\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t', u'Price': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t34.20L \t\t\t\t\t\t\t', u'Super Built-Up Area': u'1140 sq.ft', u'Unit Types': u'\n\t\t\t\t\t\t\t\t2 BHK Apartment\n\t\t\t\t\t\t\t\tAvailability*: Yes\n\t\t\t\t\t\t\t'}, {u'Floor Plans': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t', u'Carpet Area': u'NA', u'Live-in Tour': u'\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t', u'Price': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t38.25L  - 42.75L \t\t\t\t\t\t\t', u'Super Built-Up Area': u'1275 - 1425 sq.ft', u'Unit Types': u'\n\t\t\t\t\t\t\t\t3 BHK Apartment\n\t\t\t\t\t\t\t\tAvailability*: Yes\n\t\t\t\t\t\t\t'}]","
								3 BHK Apartment
								Availability*: Yes
							",,https://www.commonfloor.com/maheshwari-shree-indira-sadan-hyderabad/povp-bdwtez,By  in Alwal,,Possession: Dec-2017,"{u'Outdoor Games': u'Play Area', u'Green Living': u'Rain Water Harvesting', u'Safety & Security': u'Security', u'Landscape': u'Landscaped Garden', u'Network & Connectivity': u'Intercom'}",,1275 - 1425 sq.ft,"
                                          General	Foundations & Structure:-	R.C.C. Framed Structure in M 20 grade.		Superstructure:-	4 1/2"" Walls with Light weight bricks in Cement Motor.		Finishing:-	Two coat plastering, for both internal and external walls, internal Lappam finishing in all rooms except toilets, kitchen and balconies.		Main Door:-	Take Wood door frames with teak wood shutters or designer door with melamine polishing and designer hardware of reputed make.		Other Doors:-	Teak Wood frames with flush shutters and hardware of reputed make, enamel painting with lappam finish.		Windows:-	UPVC with safety grills.		Water:-	Under ground sump for Bore well water and manjeera water.	Adequate bore wells.	Provision for manjeera water connection.		Painting/ Polishing:-	Interiors - Premium emulsion.	Exteriors - Road side elevation with BIRLA WALL CARE PUTTY painting with ACE Asian Paints.	Doors - Melamine polish for main doors and enamel paint   for internal doors.		Toilets:-	Standard make Shaver, Wash basin hot & cold valve mixer, EWC of standard make.	Provisions for geysers in all bathrooms.		Kitchen:-	Granite Platform with steel sink and provision for exhust fan, upgradable to designer, modular kitchen at extra cost.  		Electrical:-	Standard Canceled wiring for lights, fans plug provision of A/c points in all bed rooms with modular switches of standard make.		Sanitary System:-	PVC pipelines and fittings for sanitary systems, UPVC pipeline and fitting for water supply system.                ","
														 
														38.25L  - 42.75L 							",Alwal,Launched: Jun-2014
Gharonda Brahma,,Upcoming,"[{u'Floor Plans': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t', u'Carpet Area': u'NA', u'Live-in Tour': u'\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t', u'Price': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\t\t\t\t\t\t\t', u'Super Built-Up Area': u'988 - 1174 sq.ft', u'Unit Types': u'\n\t\t\t\t\t\t\t\t2 BHK Apartment\n\t\t\t\t\t\t\t\tAvailability*: Yes\n\t\t\t\t\t\t\t'}, {u'Floor Plans': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t', u'Carpet Area': u'NA', u'Live-in Tour': u'\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t', u'Price': u'\n\t\t\t\t\t\t\t\t\t\t\t\t\t\tNA\t\t\t\t\t\t\t', u'Super Built-Up Area': u'1170 - 1337 sq.ft', u'Unit Types': u'\n\t\t\t\t\t\t\t\t3 BHK Apartment\n\t\t\t\t\t\t\t\tAvailability*: Yes\n\t\t\t\t\t\t\t'}]","
								3 BHK Apartment
								Availability*: Yes
							",,https://www.commonfloor.com/gharonda-brahma-hyderabad/povp-rjp38b,By Gharonda Builders & Developers in Pocharam,,,"{u'Outdoor Games': u'Play Area                            \n                                \n                                Tennis Court                            \n                                \n                                Badminton Court                            \n                                \n                                Basket Ball Court', u'Green Living': u'Rain Water Harvesting', u'Recreation': u'Club House', u'Safety & Security': u'Security', u'Network & Connectivity': u'Intercom', u'Indoor Games': u'Indoor Games', u'Fitness': u'Swimming Pool                            \n                                \n                                Gymnasium                            \n                                \n                                Meditation Hall', u'Health Facilities': u'Health Facilities', u'Convenience': u'Library', u'Landscape': u'Landscaped Garden'}",,1170 - 1337 sq.ft,"
                                          GeneralSUPER STRUCTURER.C.C. frame with 9"" thick outer walls and 4Â½"" thick brick partition walls with two coats of plastering sponge finish final and complete flat smooth altek/luppum finish.FLOORINGVitrified tiles with skirting size 24""x24"".DOORSAll doors frames in teak wood and internal doors with flush type door shutters of standard make with required number of powder coated aluminium hardware.MAIN DOOR FITTINGSMain door with teak wood door frame with both side teak veneer shutter with magic eye, brass safety chain, night latch, tower bolt, and vertibolt lock.WINDOWS/VENTILATORSPowder coated aluminium windows, steel grills for security and provision for mosquito mesh shutter.KITCHENGranite top cooking platform with 2'-0"" high coloured glazed tile dado, stainless steel sink.TOILETSIndian W.C. or European W.C. standard make white sanitary ware per each flat with glazed tiles dadoing upto door height, and non skid ceramic tile flooring in all toilets.PAINTINGSOil bound distemper for inner walls, sandtex/apex exterior paint for external walls, enamel paint for wood work, grills.ELECTRICALSConcealed copper wiring with adequate light power points, fan, tv, telephone point, 3 phase meter connection to each flat and db's with MCB isolators, phone and broadband facility, modular switches. ( provision for split A/c, T.V, and telephone in master bed room ).PLUMBING & WATERConcealed piping with high quality chrome plated fittings one drinking water C.P. tap in kitchen wall mixer in bath, connection for geyser and shower, borewell water through overhead tank.BOREWELLS/SUMPSBorewell sump for storing water, borewell / municipal water shall be provided through over head tanks.LIFTShall be provided as per plan of reputed make.GENERATORShall be provided at an extra cost as the said is compulsory. and shall be shared by each of the flat owners.(generator is for back up for lifts, pumps, common / corridor lighting and each flat 6 light points ).COMMON AREASMarble flooring for steps and vitrified tiles with skirting for corridors.EXHAUST FANProvision shall be given in kitchen and toilets.WARDROBEAll bedrooms provided with adequate wardrobe space.FIRE/EXTINGUISHERShall be provided as required as per plan.CAR PARKING AREATiled flooring .SECURITY24hrs, security service, epabx facility with the security room, panic buzzer in each flat.                ","
														NA							",Pocharam,
