status,Super_builduparea,project_name,total_unit,area,builder_overview,Builder_price,project_add_spec,builder_desciption,unit_type,possesion_date,Apartment,link,location,project_by,amenities,project_spec,project_desciption,project_overview,rera_id
Under Construction,"835 - 1,404 sq ft",Corporate Arcadia,360,1404 sq ft(3BHK+2T), (7   Total Projects ) (1   Ongoing Projects ) (  RERA ID ),₹ 35.07 L - ₹ 58.97 L,"{u'Walls': {u'Toilets:': u'Glazed Tiles Dado up to 7 Feet Height Above Platform', u'Exterior:': u'Anti Fungal and Anti Algal Paint', u'Kitchen:': u'Glazed Tiles Dado up to 2 Feet Height Above Platform', u'Interior:': u'Acrylic Emulsion Paint'}, u'Fittings': {u'Toilets:': u'Chrome Plated Fittings', u'Kitchen:': u'Granite platform with stainless steel sink'}, u'Flooring': {u'Toilets:': u'Ceramic Tiles', u'Master Bedroom:': u'Vitrified Tiles', u'Other Bedroom:': u'Vitrified tiles', u'Balcony:': u'Ceramic Tiles', u'Living/Dining:': u'Vitrified tiles', u'Kitchen:': u'Ceramic tiles'}, u'Doors': {u'Internal:': u'Sal Wood Frame', u'Main:': u'Teak Wood Frame and Shutter'}, u'Others': {u'Switches:': u'Modular Switches', u'Wiring:': u'Concealed copper wiring', u'Frame Structure:': u'RCC framed structure', u'Windows:': u'Anodized Aluminium Sliding'}}","An OverviewCorporate Leisure & Property Development Pvt Ltd (CLPD) is a real estate development company based in Bangalore. Established in 2001, the company has successfully delivered many residential and commercial projects.Unique Selling PointThe company is committed towards customer satisfaction. The company uses advanced technology, gives professional assistance and focuses on quality in all its projects. Landmark ProjectsSuncity Gloria is a project by Corporate Leisure and is located at Sar... more",3 BHK,Possession date: Apr'19,"1, 2, 3 BHK",https://www.proptiger.com/bangalore/carmelaram/corporate-leisure-arcadia-648874,Carmelaram,Corporate Leisure, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Club House  5: Multipurpose Room  6: Sports Facility  7: Landscaped Gardens  8: Power Backup  9: 24 X 7 Security  10: Intercom  11: Jogging Track  12: Rain Water Harvesting  13: Visitors  ,"{u'Apartment': u'1, 2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'835\xa0-\xa01,404\xa0sq ft', u'Builder price': u'\u20b9\xa035.07 L\xa0-\xa0\u20b9\xa058.97 L'}","Arcadia is enchantingly designed around peace, amidst the pristine and serene ambience of chikkabellandur, 5 minutes drive from the Wipro corporate office and 10mins drive from Cisco Campus on Outer Ring Road. Arcadia is spread over 5 acres of land with 75% of the available space retained for beautifully designed landscaped areas and amenities. The entire project comprises of 2 Blocks - Block-1 & Block 2, having 3 and 5 wings respectively. A total of 360 flats are aesthetically designed among these Wings.”","{u'Status': u'Under Construction', u'Total Area': u'5\xa0Acres', 'total_unit': u'360', u'Possession Date(s)': u""Apr'19"", u'Launch Date': u""Aug'13"", u'Availability': u'New'}",
On Hold,"1,070 - 1,429 sq ft",CMRS Rishi Enclave,74,1429 sq ft(3BHK+3T), (15   Years of Experience ) (27   Total Projects ) (4   Ongoing Projects ) (  RERA ID ),₹ 42.80 L - ₹ 57.16 L,"{u'Walls': {u'Toilets:': u'Ceramic Tiles Dado up to Door Height', u'Exterior:': u'Emulsion Paint', u'Kitchen:': u'Ceramic Tiles Dado up to Door Height', u'Interior:': u'Plastic Emulsion Paint'}, u'Fittings': {u'Toilets:': u'Jaguar Fittings', u'Kitchen:': u'Stainless Steel Sink with Drain Board'}, u'Flooring': {u'Toilets:': u'Anti Skid Tiles', u'Living/Dining:': u'Vitrified Tiles', u'Other Bedroom:': u'Vitrified Tiles', u'Balcony:': u'Vitrified Tiles', u'Master Bedroom:': u'RAK/Laminated Wooden Flooring', u'Kitchen:': u'Ceramic Tiles'}, u'Doors': {u'Internal:': u'Laminated Flush Door', u'Main:': u'Teak Wood Frame'}, u'Others': {u'Windows:': u'Aluminium Sliding'}}",CMRS Group is one of the leading developers of real estate in Bengaluru. The aim of CMRS group is to build well-constructed structures that people can happily call a home. CMRS Group affordable flats are a dream come true for many home seekers. The vision of the CMRS Group is to help people in getting a high-quality and modern home with vibrancy. Unique Selling Point  There are 12 completed projects of CMRS Group constructed over 1 million sq ft area with thousands of residents. CMRS Group has a... more,3 BHK,Possession date: Apr'18,"2, 3 BHK",https://www.proptiger.com/bangalore/brookefield/cmrs-rishi-enclave-667777,Brookefield,CMRS, 1: Gymnasium  2: Swimming Pool  3: Club House  4: Cafeteria  5: Rain Water Harvesting  6: Intercom  7: 24 X 7 Security  8: Jogging Track  9: Power Backup  10: Landscaped Gardens  11: Maintenance Staff  12: Car Parking  13: Children's play area  14: Lift Available  15: Vaastu Compliant ,"{u'Apartment': u'2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'1,070\xa0-\xa01,429\xa0sq ft', u'Builder price': u'\u20b9\xa042.80 L\xa0-\xa0\u20b9\xa057.16 L'}","CMRS Rishi Enclave is a residential complex in Brookefield, Bangalore. The community has 2 and 3BHK flats on offer whose construction shall begin soon. A total of 74 units have been put up for sale, at prices which range from Rs 42.8 to 57.2 lakhs. The sizes of the apartments vary between 1070 and 1429 sq. ft. The community covers an area of 1 acre, which also comprises of amenities such as swimming pool, gymnasium, cafeteria, club house, intercom services and rainwater harvesting. The CMRS Group has worked on twenty five projects so far, seventeen of which are under construction. Some of these projects are located in Kalyan Nagar and Marathahalli.Brookefield is located close to areas such as Vijayangar, Kannamangala, Segehalli and Belathur. It is bounded by roads such as Old Airport Road and Outer Ring Road. The area is only 11 minutes away from the ITPL and 9 minutes from Whitefield. BMTC buses ply through here to connect it to different parts of the city. The area has several shopping malls (Forum Value Mall), schools (Ryan International School) and hospitals in the vicinity.","{u'Possession Date(s)': u""Apr'18"", u'Status': u'On Hold', u'Total Area': u'1\xa0Acres', 'total_unit': u'74', u'Availability': u'None'}",
Pre Launch,"1,115 - 1,530 sq ft",SNR Luxuria,28,1530 sq ft(3BHK+3T), (39   Years of Experience ) (5   Total Projects ) (3   Ongoing Projects ) (  RERA ID ),₹ 50.17 L - ₹ 68.85 L,"{u'Walls': {u'Toilets:': u'Glazed Tiles Dado up to 7 Feet Height Above Platform', u'Kitchen:': u'Ceramic Tiles Dado up to 2 Feet Height Above Platform', u'Interior:': u'Acrylic Emulsion Paint'}, u'Fittings': {u'Toilets:': u'All sanitary fittings are from Parryware or Hindware in 50 color', u'Kitchen:': u'20 mm black granite counter with stainless steel sink with drain board'}, u'Flooring': {u'Toilets:': u'Anti Skid Ceramic Tiles', u'Balcony:': u'Anti Skid Tiles', u'Master Bedroom:': u'Vitrified Tiles', u'Kitchen:': u'Vitrified Tiles'}, u'Doors': {u'Internal:': u'Sal Wood Frame', u'Main:': u'Teak Wood Frame and Shutter'}, u'Others': {u'Switches:': u'Modular Switches of Anchor Roma or Equivalent', u'Windows:': u'UPVC'}}","An Overview:SNR Square are one of the fastest growing realtors in Bangalore. They companys mission to provide quality constructions at economical cost to the customers. Since its inception the company has always strived for benchmark quality, customer satisfaction, robust engineering, uncompromising business ethics and transparency in all spheres of business conduct. They have built a reputation for the care that helps and customizes spaces for our clients in accommodating their dreams. They bel... more",3 BHK,Possession date: Dec'18,"2, 3 BHK",https://www.proptiger.com/bangalore/bilekahalli/snr-square-luxuria-779931,Bilekahalli,SNR Square, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Multipurpose Room  5: Intercom  6: 24 X 7 Security  7: Power Backup  8: Vaastu Compliant  9: Car Parking  10: Indoor Games ,"{u'Apartment': u'2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'1,115\xa0-\xa01,530\xa0sq ft', u'Builder price': u'\u20b9\xa050.17 L\xa0-\xa0\u20b9\xa068.85 L'}","SNR Square Luxuria group has launched a premium project in the Bilekahalli region of Bengaluru. The entire project is all set for moving in purpose. The required necessities like park, petrol pump, school, ATM, bank, hospital etc. in the neighbourhood. The amenities provided by this project is a playground for the kids, security for 24 hours and a beautiful landscaped garden, a power backup system for 24 hours and much more. The price of the apartments depends on the request value.Updated with Total Supply-28, Launch Units-28, Availability-13, Price-4500/sqft(Builtup Price), Sales of June'17 are updated with 1 unit.","{u'Possession Date(s)': u""Dec'18"", u'Status': u'Pre Launch', 'total_unit': u'28', u'Availability': u'New'}",
Under Construction,"475 - 1,444 sq ft",Ahad Excellencia,505,1444 sq ft(3BHK+3T), (9   Total Projects ) (2   Ongoing Projects ) (  RERA ID ),₹ 26.17 L - ₹ 75.20 L,"{u'Walls': {u'Toilets:': u'Designer Tiles Dado up to Lintel Level', u'Exterior:': u'Texture Paint', u'Kitchen:': u'Ceramic Tiles above Working Platform', u'Interior:': u'Acrylic Emulsion Paint'}, u'Fittings': {u'Toilets:': u'Chrome Plated Fittings', u'Kitchen:': u'Stainless Steel Sink'}, u'Doors': {u'Main:': u'Hard Wood Frame', u'Internal:': u'Hardwood Frame with Skin Moulding'}, u'Flooring': {u'Toilets:': u'Anti Skid Tiles', u'Kitchen:': u'Vitrified Tiles', u'Master Bedroom:': u'Vitrified Tiles', u'Living/Dining:': u'Vitrified Tiles', u'Other Bedroom:': u'Vitrified tiles'}, u'Others': {u'Points:': u'Kitchen', u'Switches:': u'Modular Switches', u'Frame Structure:': u'Earthquake Resistant RCC Structure as per IS Code', u'Windows:': u'UPVC Sliding Windows'}}","Ahad Builders is a well-known real estate builder based in Bangalore. Since its inception, the company is engaged in constructing residential projects in and around Bangalore. Some of the services offered by Ahad Builders construction are architectural services, structural design, interior and electrical services, layout formation, plan sanctions corporation works and project on ‘Joint Development’. Top Ahad Builders projects  Silver Heights in HSR Layout, Bangalore comprising 68 uni... more",3 BHK,Possession date: Aug'20,"1, 2, 3 BHK",https://www.proptiger.com/bangalore/avalahalli-off-sarjapur-road/ahad-builders-excellencia-1719275,Avalahalli Off Sarjapur Road,Ahad Builders, 1: Aerobics Room  2: Amphitheater  3: Badminton Court  4: Basketball Court  5: Cafeteria  6: Children's play area  7: Community Hall  8: Cricket Pitch  9: Earthquake Resistant Structure  10: Fire Fighting System  11: Gated Community  12: Gymnasium  13: Indoor Games  14: Internal Roads  15: Jogging Track  16: Landscaped Gardens  17: Lift Available  18: Power Backup  19: Rain Water Harvesting  20: Ramps for Handicap friendliness  21: Security Guards  22: Sewage Treatment Plant  23: Spa/Sauna/Steam  24: Swimming Pool  25: Utility Shops  26: CCTV  27: Club House  28: 24 Hours Water Supply  29: Multipurpose Room ,"{u'Apartment': u'1, 2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'475\xa0-\xa01,444\xa0sq ft', u'Builder price': u'\u20b9\xa026.17 L\xa0-\xa0\u20b9\xa075.20 L'}",,"{u'Status': u'Under Construction', u'Total Area': u'8\xa0Acres', 'total_unit': u'505', u'Possession Date(s)': u""Aug'20"", u'Launch Date': u""Jan'18"", u'Availability': u'New'}",
Under Construction,"965 - 1,745 sq ft",DS Silver Wood,116,1745 sq ft(3BHK+2T), (110   Total Projects ) (24   Ongoing Projects ) (  RERA ID ),₹ 24.13 L - ₹ 43.63 L,"{u'Walls': {u'Exterior:': u'Oil Bound Distemper Paint', u'Interior:': u'Oil Bound Distemper'}, u'Fittings': {u'Kitchen:': u'Granite platform with stainless steel sink'}, u'Flooring': {u'Toilets:': u'Vitrified Tiles', u'Living/Dining:': u'Vitrified tiles', u'Other Bedroom:': u'Vitrified tiles', u'Balcony:': u'Vitrified Tiles', u'Master Bedroom:': u'Vitrified Tiles', u'Kitchen:': u'Vitrified Tiles'}, u'Doors': {u'Main:': u'Teak Wood Frame', u'Internal:': u'Timber with Masonite Skin'}, u'Others': {u'Switches:': u'Modular Switches', u'Wiring:': u'Finolex or Equivalent Cables and Wiring', u'Frame Structure:': u'RCC framed structure', u'Windows:': u'Powder Coated Aluminium Sliding'}}","DS-MAX Properties Pvt.Ltd. is a real estate development firm based in Bangalore which was founded Dr. K. V. Satish. Today, DS-MAX is listed among the top most preferred real estate development companies in Bangalore. Having years of experience, DS-MAX has rapidly grown and is expanding its wings beyond Karnataka. Two of its upcoming residential township projects are DS-MAX Skyscape Rampura and DS-MAX Skycity in Thanisandra Few of its key under construction residential projects are:  Streak Nest ... more",3 BHK,Possession date: Sep'18,"2, 3 BHK",https://www.proptiger.com/bangalore/bommasandra/ds-max-properties-silver-wood-670260,Bommasandra,DS Max Properties, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Intercom  5: Jogging Track  6: Power Backup  7: Landscaped Gardens  8: Car Parking  9: Lift Available ,"{u'Apartment': u'2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'965\xa0-\xa01,745\xa0sq ft', u'Builder price': u'\u20b9\xa024.13 L\xa0-\xa0\u20b9\xa043.63 L'}","DS Max Silver Wood is an under construction housing project in Bommasandra, Bangalore. It has apartments of 2 and 3 BHK configuration available through the developer.Spread over 1.15 acre, the community has various facilities on offer alongside the apartments. Some of the conveniences are swimming pool, gymnasium, jogging track, childrens play zone and intercom connectivity. DS Max Properties is one of Bangalores leading property developers which have worked on ninety six properties so far. Forty four projects of theirs are under construction. Electronics City is an IT hub of Bangalore which is towards the south of the city.","{u'Status': u'Under Construction', u'Total Area': u'1.15\xa0Acres', 'total_unit': u'116', u'Possession Date(s)': u""Sep'18"", u'Launch Date': u""Feb'15"", u'Availability': u'New'}",
On Hold,"1,102 - 1,657 sq ft",AMP Absolute,60,1657 sq ft(3BHK+3T), (1   Total Projects ) (0   Ongoing Projects ) (  RERA ID ),₹ 33.61 L - ₹ 50.54 L,"{u'Walls': {u'Toilets:': u'Ceramic Tiles Dado', u'Exterior:': u'Weather Coat Paint', u'Kitchen:': u'Glazed Tiles Dado up to 2 Feet Height Above Platform', u'Interior:': u'Emulsion Paint'}, u'Fittings': {u'Toilets:': u'Sanitary fittings', u'Kitchen:': u'Granite platform with stainless steel sink'}, u'Flooring': {u'Toilets:': u'Anti Skid Ceramic Tiles', u'Master Bedroom:': u'Vitrified Tiles', u'Other Bedroom:': u'Vitrified tiles', u'Kitchen:': u'Vitrified Tiles', u'Living/Dining:': u'Vitrified tiles', u'Balcony:': u'Ceramic Tiles'}, u'Doors': {u'Internal:': u'Wooden Frame', u'Main:': u'Teak Wood Frame'}, u'Others': {u'Points:': u'Dining', u'Switches:': u'Modular Switches', u'Frame Structure:': u'RCC framed structure', u'Windows:': u'2 Track UPVC Sliding Window with Mosquito Mesh Shutter'}}",,3 BHK,Possession date: Apr'18,"2, 3 BHK",https://www.proptiger.com/bangalore/avalahalli-off-sarjapur-road/amp-absolute-1420113,Avalahalli Off Sarjapur Road,AMP, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Multipurpose Room  5: Sports Facility  6: Rain Water Harvesting  7: Intercom  8: 24 X 7 Security  9: Power Backup  10: Landscaped Gardens  11: Indoor Games  12: Lift Available  13: Closed Car Parking ,"{u'Apartment': u'2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'1,102\xa0-\xa01,657\xa0sq ft', u'Builder price': u'\u20b9\xa033.61 L\xa0-\xa0\u20b9\xa050.54 L'}",,"{u'Status': u'On Hold', u'Total Area': u'0.9\xa0Acres', 'total_unit': u'60', u'Possession Date(s)': u""Apr'18"", u'Launch Date': u""Aug'16"", u'Availability': u'None'}",
Under Construction,"1,307 - 1,536 sq ft",Aratt Cityscape Apartment,152,1536 sq ft(3BHK+3T), (15   Years of Experience ) (33   Total Projects ) (6   Ongoing Projects ) (  RERA ID ),₹ 44.44 L - ₹ 52.22 L,"{u'Walls': {u'Toilets:': u'Ceramic Tiles Dado', u'Kitchen:': u'Ceramic Tiles Dado', u'Interior:': u'Plastic Emulsion Paint'}, u'Fittings': {u'Toilets:': u'Sanitary fittings', u'Kitchen:': u'Granite platform with stainless steel sink'}, u'Doors': {u'Main:': u'Seasoned Hardwood Frame with Polished Decorative Shutter'}, u'Flooring': {u'Toilets:': u'Ceramic Tiles', u'Living/Dining:': u'Vitrified tiles', u'Other Bedroom:': u'Vitrified tiles', u'Balcony:': u'Vitrified Tiles', u'Master Bedroom:': u'Vitrified Tiles', u'Kitchen:': u'Vitrified Tiles'}, u'Others': {u'Switches:': u'Modular Switches', u'Windows:': u'Aluminium Sliding Windows'}}","Aratt is a leading real estate developer that was founded in the year 2003 and is headquartered at Bangalore. Aratt or Arattukulam is spearheaded by its Founder and Managing Director Mr. Tony Vincent. The portfolio of property by Aratt covers residential, commercial and hospitality projects. The company has successfully delivered more than 1,000 residential apartments to customers in Bangalore till date. Aratt thrives on its philosophies of experience, vision and creativity with a view towards e... more",3 BHK,Possession date: Dec'18,"2, 3 BHK",https://www.proptiger.com/bangalore/budigere-cross/aratt-cityscape-apartment-1317544,Budigere Cross,Aratt, 1: Landscaped Gardens  2: Gymnasium  3: Swimming Pool  4: Children's play area  5: Jogging Track  6: Indoor Games  7: Car Parking  8: Lift Available  9: Vaastu Compliant  10:      11:    12:    13:       14:     ,"{u'Apartment': u'2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'1,307\xa0-\xa01,536\xa0sq ft', u'Builder price': u'\u20b9\xa044.44 L\xa0-\xa0\u20b9\xa052.22 L'}","Cityscape Apartment is a premium housing project launched by Aratt in Budigere Cross, Bangalore. These 2, 3 BHK Apartment in Old Madras Road are available from 1307 sqft to 1508 sqft. Among the many luxurious amenities that the project hosts are Landscaped Gardens, Lift Available, Vaastu Compliant, Football Court, Tennis Court, Swimming Pool etc. Starting at @Rs 3,600 per sqft, Apartment are available at attractive price points. The Apartment will be available for sale from Rs 47.05 lacs to Rs 54.29 lacs.","{u'Possession Date(s)': u""Dec'18"", u'Status': u'Under Construction', u'Launch Date': u""May'17"", 'total_unit': u'152', u'Availability': u'New'}",
On Hold,"460 - 3,453 sq ft",Nitesh Virgin Island,723,3453 sq ft(4BHK+6T + Servant Room), (14   Years of Experience ) (29   Total Projects ) (11   Ongoing Projects ) (  RERA ID ),₹ 20.01 L - ₹ 1.50 Cr,"{u'Walls': {u'Toilets:': u'Ceramic Tiles Dado up to 7 Feet Height Above Platform', u'Exterior:': u'Texture Paint', u'Kitchen:': u'Ceramic Tiles Dado up to 2 Feet Height Above Platform', u'Interior:': u'Oil Bound Distemper'}, u'Fittings': {u'Toilets:': u'Provision for Wash Basin', u'Kitchen:': u'Stainless Steel Sink with Drain Board'}, u'Flooring': {u'Toilets:': u'Anti Skid Tiles', u'Living/Dining:': u'Vitrified Tiles', u'Other Bedroom:': u'Vitrified Tiles', u'Balcony:': u'Anti Skid Tiles', u'Master Bedroom:': u'Vitrified Tiles', u'Kitchen:': u'Anti Skid Tiles'}, u'Doors': {u'Internal:': u'Flush Shutters', u'Main:': u'Teak Wood Frame and Shutter'}, u'Others': {u'Switches:': u'Modular Switches', u'Wiring:': u'Concealed Copper Wiring', u'Frame Structure:': u'RCC Frame', u'Windows:': u'UPVC'}}","Established in 2004, Nitesh is a leading real estate developer headquartered in Bangalore. Having 8 years of experience in the industry, the company is engaged in constructing high end luxury homes. Mr. Nitesh Shetty is the founder and Managing Director of the company.Nitesh is having strong presence in cities like Chennai, Goa and Cochin. The prime business of the company involves in constructing residential spaces, office buildings, shopping malls and hotels. In the residential segment, the fi... more",4 BHK,Possession date: Jun'19,"1, 2, 3, 4 BHK",https://www.proptiger.com/bangalore/budigere-cross/nitesh-estates-virgin-island-664204,Budigere Cross,Nitesh Estates, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Club House  5: Rain Water Harvesting  6: 24 X 7 Security  7: Jogging Track  8: Power Backup  9: Indoor Games  10: Car Parking  11: Multipurpose Room  12: Sports Facility  13: Landscaped Gardens  14: Car Parking  15: Gymnasium  16: Swimming Pool  17: Children's play area  18: Club House  19: Multipurpose Room  20: Sports Facility  21: Rain Water Harvesting  22: 24 X 7 Security  23: Jogging Track  24: Power Backup  25: Landscaped Gardens  26: Indoor Games  27: Car Parking  28: Gymnasium  29: Swimming Pool  30: Children's play area  31: Club House  32: Multipurpose Room  33: Sports Facility  34: Rain Water Harvesting  35: 24 X 7 Security  36: Jogging Track  37: Power Backup  38: Landscaped Gardens  39: Indoor Games  40: Car Parking  41: Lift Available  42: Shopping Mall ,"{u'Apartment': u'1, 2, 3, 4\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'460\xa0-\xa03,453\xa0sq ft', u'Builder price': u'\u20b9\xa020.01 L\xa0-\xa0\u20b9\xa01.50 Cr'}","Nitesh Virgin Island is a housing community located in Budigere Cross, Bangalore. Sprawling over an area of 8.15 acres, the community has numerous amenities on offer apart from the residential towers. Some of the amenities offered within include swimming pool, club house, gymnasium, landscaped gardens, kids’ play area, rainwater harvesting and round the clock security. The Nitesh Group was launched in 2004 and within a decade of existence, they have worked on thirty projects. Fifteen of their properties are under construction currently. Apart from Budigere Cross, they have worked on projects in Talaghattapura and Hulimavu.","{u'Status': u'On Hold', u'Total Area': u'8.15\xa0Acres', 'total_unit': u'723', u'Possession Date(s)': u""Jun'19"", u'Launch Date': u""Feb'15"", u'Availability': u'None'}",
Under Construction,"915 - 1,530 sq ft",Bren Starlight,194,1530 sq ft(3BHK+3T), (21   Total Projects ) (4   Ongoing Projects ) (  RERA ID ),₹ 43.92 L - ₹ 73.44 L,"{u'Doors': {u'Internal:': u'Paneled European Styled Doors'}, u'Others': {u'Switches:': u'Modular Switches'}}","Bren Corporation is a leading real estate developer in Bangalore and is spearheaded by its Managing Director Mr. Boopesh Reddy. Bren Corporation holds four decades of experience in the sector and the portfolio of property by Bren Corporation includes commercial, residential, retail and infrastructure projects centered on Bangalore city and its suburbs. The company believes in creating innovative, customer centric and top class living, working and retail spaces. The company has a customer base ex... more",3 BHK,Possession date: Sep'19,"1, 2, 3 BHK",https://www.proptiger.com/bangalore/budigere-cross/bren-starlight-668294,Budigere Cross,Bren, 1: Car Parking  2: Gymnasium  3: Swimming Pool  4: Children's play area  5: Club House  6: Rain Water Harvesting  7: Intercom  8: 24 X 7 Security  9: Power Backup  10: Indoor Games  11: Maintenance Staff  12: Multipurpose Room  13: Jogging Track  14: Landscaped Gardens  15: Lift Available  16: Staff Quarter  17: Vaastu Compliant ,"{u'Apartment': u'1, 2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'915\xa0-\xa01,530\xa0sq ft', u'Builder price': u'\u20b9\xa043.92 L\xa0-\xa0\u20b9\xa073.44 L'}","Bren Starlight Bangalore offers premium 1 BHK, 2 BHK and 3 BHK apartments to buyers.Key amenities on offer at this project include car parking facilities, rainwater harvesting systems, gymnasium, intercom facilities, swimming pool, club house, indoor game facilities, playing zone for children, power backup facilities, 24 hour security services, maintenance services, climbing wall, basketball court, library, community hall, security cabin, tennis court and health facilities.Added amenities include broadband internet connectivity, visitors’ parking, cricket pitch, water features, badminton court, pavilion with barbeque and a skating rink. Located at Budigere Cross, Bangalore.
","{u'Status': u'Under Construction', u'Total Area': u'1.75\xa0Acres', 'total_unit': u'194', u'Possession Date(s)': u""Sep'19"", u'Launch Date': u""Apr'16"", u'Availability': u'New'}",RERA ID: PR/KN/170729/000368
Under Construction,"607 - 1,667 sq ft",Ksr Basil Apartments,260,1667 sq ft(3BHK+3T), (19   Years of Experience ) (6   Total Projects ) (1   Ongoing Projects ) (  RERA ID ),₹ 21.85 L - ₹ 60.01 L,"{u'Walls': {u'Toilets:': u'Ceramic Tiles Dado up to Door Height', u'Exterior:': u'Cement Based Paint', u'Kitchen:': u'Glazed Tiles Dado up to 2 Feet Height Above Platform', u'Interior:': u'Oil Bound Distemper'}, u'Fittings': {u'Toilets:': u'Jaguar/Parryware or Equivalent', u'Kitchen:': u'Provision for Water Heater & Water Purifier'}, u'Flooring': {u'Toilets:': u'Anti Skid Tiles', u'Living/Dining:': u'Vitrified Tiles', u'Other Bedroom:': u'Vitrified Tiles', u'Balcony:': u'Vitrified Tiles', u'Master Bedroom:': u'Vitrified Tiles', u'Kitchen:': u'Vitrified Tiles'}, u'Doors': {u'Internal:': u'Flush Shutters', u'Main:': u'Teak Wood Frame'}, u'Others': {u'Switches:': u'Modular Switches', u'Wiring:': u'Concealed Copper Wiring', u'Frame Structure:': u'RCC Frame', u'Windows:': u'Powder Coated Aluminium Sliding'}}",,3 BHK,Possession date: Dec'18,"1, 2, 3 BHK",https://www.proptiger.com/bangalore/budigere-cross/ksr-properties-basil-apartments-659681,Budigere Cross,Ksr Properties, 1: Swimming Pool  2: Children's play area  3: Jogging Track  4: Club House  5: Indoor Games  6: Car Parking  7: Gymnasium  8: Power Backup  9: Lift Available ,"{u'Apartment': u'1, 2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'607\xa0-\xa01,667\xa0sq ft', u'Builder price': u'\u20b9\xa021.85 L\xa0-\xa0\u20b9\xa060.01 L'}","Basil Apartments is a premium project offering spacious 1, 2 and 3BHK apartments located in Budigere Cross, Bangalore. A total of 344 apartments are available for sale which measure in between 607 to 1667 sq ft. The total area covered by the community is 5.5 acres and comprises of several amenities apart from residential towers. Some of the amenities include Swimming pool, Children's play area, Jogging Track, Party Hall, Indoor Games and Doctors Clinic. Established 16 years ago, KSR Group is one of the highly respected realtors in Bangalore. They have worked on 6 projects so far. Out of which, 3 are under construction. Apart from Basil Apartments, their projects are based in Madhurawada, Budigere Cross, Thanisandra and Hebbal. Budigere Cross is one of the most comfortable areas in Bangalore. It is surrounded by developed areas such as Chikballapur, Jalahalli, Vasanth Nagar, Brookefield and Bommasandra.","{u'Status': u'Under Construction', u'Total Area': u'5.5\xa0Acres', 'total_unit': u'260', u'Possession Date(s)': u""Dec'18"", u'Launch Date': u""Oct'15"", u'Availability': u'New'}",
