project_name,project_by,location,Build_Up_Area,Unit_Types,Price,about_project,Project status,possesion,launched,rera_no
Sri Charitha Blossom,By  in Brookefield,Brookefield,1200 - 1250 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														54L  - 56.25L 							",,Ready-to-move,,,
Shravanthi Prosper,By Shravanthi Group in BTM Layout,BTM Layout,1310 - 1800 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														43.23L  - 59.40L 							",,Ready-to-move,,,
Gopalan Royal Heritage,By Gopalan Enterprises in Bennigana Halli,Bennigana Halli,2275 - 2400 sq.ft,"
								4 BHK Apartment
								Availability*: Yes
							","
														 
														1.16Cr  - 1.22Cr 							",,Ready-to-move,,,
SN Luxor,By  in Bennigana Halli,Bennigana Halli,1510 - 1756 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														50.78L  - 59.05L 							",,Ready-to-move,,,
Concorde Spring Meadows,By Concorde Group in Tumkur Road,Tumkur Road,1210 - 1477 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														52.01L  - 63.49L 							",,Ongoing,Possession: Jun-2021,,
Sruthika Springfields,By Sruthika Builders and Developers in Vidyaranyapura,Vidyaranyapura,1377 - 1467 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														48.19L  - 51.34L 							",,Ongoing,Possession: Apr-2018,Launched: Aug-2013, REGISTRATION NO. PR/KN/170830/001505
Sobha Lotus Apartment,By Sobha Limited in Brookefield,Brookefield, sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Bhadra Apartments,By A R Group in Brookefield,Brookefield,1565 - 1650 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														56.34L  - 59.40L 							",,Ready-to-move,,,
SLS Sunflower,By  in Bhoganhalli,Bhoganhalli,1020 - 1318 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														70.38L  - 90.94L 							",,Ready-to-move,,,
DS Max Sonata,By DS MAX Properties Pvt. Ltd. in Jalahalli West,Jalahalli West,1263 - 1485 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														37.89L  - 44.55L 							",,Ongoing,Possession: May-2020,,
Artha Seion Gold,By Artha Property in Bannerghatta Road,Bannerghatta Road,2268 sq.ft,"
								4 BHK Villa
								Availability*: Yes
							","
														 
														1.36Cr 							",,Ongoing,Possession: Dec-2017,,
Water Front Villament,By Valmark Builders in Bannerghatta Road,Bannerghatta Road,3340 - 3449 sq.ft,"
								4 BHK RowHouse
								Availability*: Yes
							","
														 
														1.95Cr  - 2.01Cr 							",,Ongoing,Possession: Jun-2018,,
Silicon Elegant Aerozone,By Silicon Projects in Yelahanka,Yelahanka,960 - 1134 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														30.96L  - 36.57L 							",,Ready-to-move,,,
