Project_name,project_by,location,Super Built Area,Price Range,Price Per Sq Ft,Description,Project Status,possession_date,Bedrooms,units,towers,unit_price,rera_no,lat_lng
"
Celebrity Natures Habitat
",Celebrity Structures India Pvt Ltd.,"
in Sarjapur-Attibele Road
, Bangalore

 
","1735
sqft","₹
72.5 Lac","₹
4,179 per
sqft","
Description:


Celebrity Nature Habitat Your home is the perfect setting to live out the story of your life .A story, that inspires others and indulge your near and dear ones with the Rays Of Happines. Celebrity Nature's Habitat Fulfills  



",Ongoing,"
Ready To Move
","
3 BHK
Villa

",291 Units ,,"(3 BHK Villa->3388 sqft), (3 BHK Villa->3464 sqft), (3 BHK Villa->3369 sqft), (3 BHK Villa->3314 sqft), (3 BHK Villa->1735 sqft), (3 BHK Villa->1908 sqft), (3 BHK Villa->1756 sqft), (3 BHK Villa->1881 sqft), (3 BHK Villa->2246 sqft), (3 BHK Villa->2229 sqft) ",,"lat=12.817233,longt=77.79295"
"
GCN Brindavan
",GCN Group,"
in Whitefield
, Bangalore

 
","1045
sqft","₹
45.0 Lac","₹
4307 per
sqft","
Description:


More sunlight 3 side ventilation no noise disturbance complete privacy. 



",Ongoing,"
Ready To Move
","
2 BHK
Apartment

",136 Units ,3 Towers ,"(2 BHK Flat->1045 sqft), (3 BHK Flat->1225 sqft) ",,"lat=12.817233,longt=77.79295"
"
Panchmukhi Paradise
",Panchmukhi Infrastructure,"
in Rajarajeshwari Nagar
, Bangalore

 
","1150
sqft","₹
56.9 Lac","₹
4950 per
sqft","
Description:


It's a 3rd floor Multistorey Apartment in a building of total 9 floors. High quality flooring of types Vitrified are available in different rooms. OUR PROJECT IS APPROVED WITH STATE BANK OF INDIA , OUR PROJECT HAS A OPEN  



",Under Construction,"
Possession in 2018
","
2 BHK
Apartment

",162 Units ,3 Towers ,"(2 BHK Flat->1095 sqft), (2 BHK Flat->1100 sqft), (2 BHK Flat->1120 sqft), (2 BHK Flat->1150 sqft), (2 BHK Flat->1170 sqft), (2 BHK Flat->1205 sqft), (2 BHK Flat->1250 sqft), (3 BHK Flat->1425 sqft), (3 BHK Flat->1475 sqft), (3 BHK Flat->1515 sqft) ",,"lat=12.908906,longt=77.51243"
"
Saibya Senary
",Saibya Structures,"
in Hosa Road
, Bangalore

 
","1051
sqft","₹
33.6 Lac","₹
3198 per
sqft","
Description:


It's a 2 bedroom Flat with an adjoining hall. This Semi-Furnished flat has a covered area of 1051 Sq-ft & has 2 bathrooms. The flat has Vitrified flooring. The flat is approved by Development Authority. . 



",Under Construction,"
Ready To Move
","
2 BHK
Apartment

",175 Units ,6 Towers ,"(2 BHK Flat->996 sqft), (2 BHK Flat->997 sqft), (2 BHK Flat->999 sqft), (2 BHK Flat->1000 sqft), (2 BHK Flat->1001 sqft), (2 BHK Flat->1003 sqft), (2 BHK Flat->1012 sqft), (2 BHK Flat->1023 sqft), (2 BHK Flat->1038 sqft), (2 BHK Flat->1051 sqft), (2 BHK Flat->1060 sqft), (2 BHK Flat->1064 sqft), (2 BHK Flat->1088 sqft), (2 BHK Flat->1172 sqft), (2 BHK Flat->1206 sqft), (2 BHK Flat->1234 sqft), (2 BHK Flat->1374 sqft) ",,"lat=12.817233,longt=77.79295"
"
GR Heights
",SGR Buildtech Pvt Ltd.,"
in JP Nagar Phase 8
, Bangalore

 
","1330
sqft","₹
74.5 Lac","₹
5,600 per
sqft","
Description:


The apartment is in JP Nagar 8th Phase, Bangalore. It has proximity to major destinations of the city. The house has RCC frame structure, teak wood door frame with teak wood panel shutter with polishing & brass hardware, oil  



",Ongoing,"
Ready To Move
","
2 BHK
Apartment

",248 Units ,4 Towers ,"(2 BHK Flat->1298 sqft), (2 BHK Flat->1299 sqft), (2 BHK Flat->1330 sqft), (2 BHK Flat->1369 sqft), (2 BHK Flat->1415 sqft), (2 BHK Flat->1417 sqft), (2 BHK Flat->1420 sqft), (2 BHK Flat->1422 sqft), (2 BHK Flat->1497 sqft), (3 BHK Flat->1542 sqft), (3 BHK Flat->1705 sqft), (3 BHK Flat->1709 sqft), (3 BHK Flat->1827 sqft), (3 BHK Flat->1853 sqft) ",,"lat=12.817233,longt=77.79295"
"
Celebrity Square
",Celebrity Structures India Pvt Ltd.,"
in Sarjapur Road
, Bangalore

 
","1052
sqft",,,"
Description:


This is a spacious Flat in Celebrity Square, Sarjapur-Attibele Road. 31. 6 Lac is the value of the Flat. The well planned Flat offers latest facilities such as like Swimming Pool, Lift, Power Back Up, Security and Gym.  



",Ready To Move,"
Ready To Move
","
3 BHK
Apartment

",252 Units ,2 Towers ,"(3 BHK Flat->1052 sqft), (3 BHK Flat->1070 sqft), (3 BHK Flat->1092 sqft), (3 BHK Flat->1097 sqft), (3 BHK Flat->1112 sqft) ",,"lat=12.817233,longt=77.79295"
"
DS Max Sarovar
",DS Max Properties,"
in Attibele
, Bangalore

 
","782
sqft","₹
19.5 Lac","₹
2,494 per
sqft","
Description:


It is a well-designed Unit situated in DS Max Sarovar, Attibele. This fantastic Unit offers latest facilities such as like Swimming Pool, Lift, Power Back Up and Jogging and Strolling Track. 19. 5 Lac is the price of the  



",Ongoing,"
Ready To Move
","
1 BHK
Apartment

",392 Units ,1 Towers ,"(1 BHK Flat->782 sqft), (2 BHK Flat->995 sqft), (2 BHK Flat->1091 sqft), (2 BHK Flat->1174 sqft), (3 BHK Flat->1639 sqft) ",,"lat=12.817233,longt=77.79295"
"
Celebrity Serenity
",Celebrity Structures India Pvt Ltd.,"
in Electronic City
, Bangalore

 
","1741
sqft",,,"
Description:


Celebrity Serenity is an exclusive gated community of premium luxury duplex Villas coming to you at the cost of a flat. Surrounded by tranquility of nature and habituated Villa projects, developed by Celebrity Structures  



",Ready To Move,"
Ready To Move
","
3 BHK
Villa

",92 Units ,,"(3 BHK Villa->2074 sqft), (3 BHK Villa->2064 sqft), (3 BHK Villa->1741 sqft), (3 BHK Villa->1742 sqft) ",,"lat=12.817233,longt=77.79295"
"
GRC Brundavan
",GRC Group,"
in Mysore Road
, Bangalore

 
","1155
sqft","₹
75.1 Lac","₹
6,500 per
sqft","
Description:


2 BHK flat GRC Group proudly presents an addition to its legacy of high quality luxury homes. GRC Brundavan is not built on the solitary premise of housing but on a holistic approach of providing better living environments.  



",Ready To Move,"
Ready To Move
","
2 BHK
Apartment

",498 Units ,5 Towers ,"(2 BHK Flat->1090 sqft), (2 BHK Flat->1115 sqft), (2 BHK Flat->1150 sqft), (2 BHK Flat->1155 sqft), (2 BHK Flat->1205 sqft), (2 BHK Flat->1260 sqft), (2 BHK Flat->1280 sqft), (3 BHK Flat->1325 sqft), (3 BHK Flat->1380 sqft), (3 BHK Flat->1405 sqft), (3 BHK Flat->1425 sqft), (3 BHK Flat->1525 sqft), (3 BHK Flat->1540 sqft), (3 BHK Flat->1570 sqft) ",,"lat=12.817233,longt=77.79295"
"
Bollineni Silas
",BSCPL Infrastructure Ltd.,"
in Whitefield
, Bangalore

 
","1600
sqft","₹
71.8 Lac","₹
4486 per
sqft","
Description:


resenting, Bollineni Silas- an address that is an oasis of calm, bang in the middle of a bustling, concrete jungle called Whitefield. Your home will now serve as a perfect getaway after a tiring day at work, as Bollineni  



",Under Construction,"
Possession in 2018
","
3 BHK
Apartment

",499 Units ,10 Towers ,"(2 BHK Flat->1070 sqft), (2 BHK Flat->1085 sqft), (2 BHK Flat->1100 sqft), (2 BHK Flat->1390 sqft), (2 BHK Flat->1415 sqft), (3 BHK Flat->1600 sqft) ",,"lat=13.007085,longt=77.73972"
