author,status,location
"
Hema Eternia
",Ready To Move,"
in Judicial Layout
, Bangalore
"
"
Midwest Elita 
",Under Construction,"
in Yelahanka
, Bangalore
"
"
Veracious Vani Vilas
",Ongoing,"
in Yelahanka
, Bangalore

 
"
"
RMZ Galleria
",Ongoing,"
in Yelahanka
, Bangalore

 
"
"
Heritage Estate
",Ready To Move,"
in Yelahanka
, Bangalore

 
"
"
Hoysala Habitat
",Ongoing,"
in Yelahanka
, Bangalore

 
"
"
Whistling Woods
",Under Construction,"
in Yelahanka
, Bangalore

 
"
"
After The Rain
",Under Construction,"
in Yelahanka
, Bangalore

 
"
"
RMZ Sawaan
",Ready To Move,"
in Yelahanka
, Bangalore

 
"
"
NCC Meadows
",Ready To Move,"
in Yelahanka
, Bangalore

 
"
"
Canopy Crest Limited Edition
",Ready To Move,"
in Yelahanka
, Bangalore

 
"
"
President Leon
",Ready To Move,"
in Yelahanka
, Bangalore

 
"
"
Century Eden
",Ongoing,"
in Yelahanka
, Bangalore

 
"
"
Nagarjuna Meadows 2
",Ready To Move,"
in Yelahanka
, Bangalore

 
"
"
Ramky One North
",Ready To Move,"
in Yelahanka
, Bangalore

 
"
"
SMR Vinay Estella
",Under Construction,"
in Yelahanka
, Bangalore

 
"
"
Adithya Tranquil
",Under Construction,"
in Yelahanka
, Bangalore

 
"
"
Arun Patios
",Ready To Move,"
in Yelahanka
, Bangalore

 
"
"
Balaji Krupa
",Ready To Move,"
in Yelahanka
, Bangalore

 
"
"
Nagarjuna Meadows
",Ready To Move,"
in Yelahanka
, Bangalore

 
"
"
Legacy Salvador 
",Ongoing,"
in Yelahanka
, Bangalore

 
"
"
Esteem Northwood
",Ready To Move,"
in Yelahanka
, Bangalore

 
"
"
Prestige Garden Bay
",Ready To Move,"
in Yelahanka
, Bangalore

 
"
"
Sobha Althea
",Ready To Move,"
in Yelahanka
, Bangalore

 
"
"
Century Saras
",Ready To Move,"
in Yelahanka
, Bangalore

 
"
"
Shriram Sahaana
",Ready To Move,"
in Yelahanka
, Bangalore

 
"
"
Krishna Shelton
",Ready To Move,"
in Yelahanka
, Bangalore

 
"
"
Legacy Estilo
",Ready To Move,"
in Yelahanka
, Bangalore

 
"
"
Prestige Oasis
",Ready To Move,"
in Yelahanka
, Bangalore

 
"
"
TMR Blossoms
",Ongoing,"
in Yelahanka
, Bangalore

 
"
"
Century Artizan
",Ongoing,"
in Yelahanka
, Bangalore

 
"
"
MN Orchid
",Ready To Move,"
in Yelahanka
, Bangalore

 
"
"
VDB Celadon
",Ready To Move,"
in Yelahanka
, Bangalore

 
"
"
Godrej Avenues
",Under Construction,"
in Yelahanka
, Bangalore

 
"
"
Shirdi Sai Nivas
",Ongoing,"
in Yelahanka New Town
, Bangalore

 
"
"
Embassy Boulevard
",Ongoing,"
in Yelahanka
, Bangalore

 
"
"
Purva Venezia
",Ready To Move,"
in Yelahanka
, Bangalore

 
"
"
Prestige Monte Carlo
",Ready To Move,"
in Yelahanka
, Bangalore

 
"
"
Century Commanders Vista
",Ready To Move,"
in Yelahanka
, Bangalore

 
"
"
Pyramid Mahika
",Ongoing,"
in Yelahanka
, Bangalore

 
"
